year,neighborhoodName,density
2017,la Verneda i la Pau,256
2017,la Vila Olímpica del Poblenou,99
2017,la Vila de Gràcia,382
2017,les Corts,326
2017,les Roquetes,243
2017,les Tres Torres,211
2018,Baró de Viver,110
2018,Can Baró,235
2018,Can Peguera,191
2018,Canyelles,87
2018,Ciutat Meridiana,281
2018,Diagonal Mar i el Front Marítim del Poblenou,113
2018,Horta,87
2018,Hostafrancs,388
2018,Montbau,25
2018,Navas,521
2018,Pedralbes,44
2018,Porta,304
2018,Provençals del Poblenou,189
2018,Sant Andreu,309
2018,Sant Antoni,473
2018,Sant Genís dels Agudells,41
2018,Sant Gervasi - Galvany,285
2018,Sant Gervasi - la Bonanova,115
2018,Sant Martí de Provençals,354
2018,"Sant Pere, Santa Caterina i la Ribera",201
2018,Sants,376
2018,Sants - Badal,577
2018,Sarrià,82
2018,Torre Baró,17
2018,Vallbona,23
2018,Vallcarca i els Penitents,131
2018,"Vallvidrera, el Tibidabo i les Planes",4
2018,Verdun,523
2018,Vilapicina i la Torre Llobeta,454
2018,el Baix Guinardó,457
2018,el Barri Gòtic,205
2018,el Besòs i el Maresme,199
2018,el Bon Pastor,68
2018,el Camp d'en Grassot i Gràcia Nova,530
2018,el Camp de l'Arpa del Clot,515
2018,el Carmel,338
2018,el Clot,387
2018,el Coll,210
2018,el Congrés i els Indians,346
2018,el Fort Pienc,343
2018,el Guinardó,281
2018,el Parc i la Llacuna del Poblenou,136
2018,el Poble Sec,86
2018,el Poblenou,216
2018,el Putxet i el Farró,348
2018,el Raval,427
2018,el Turó de la Peira,439
2018,l'Antiga Esquerra de l'Eixample,343
2018,la Barceloneta,136
2018,la Bordeta,328
2018,la Clota,36
2018,la Dreta de l'Eixample,205
2018,la Font d'en Fargues,143
2018,la Font de la Guatlla,345
2018,la Guineueta,250
2018,la Marina de Port,242
2018,la Marina del Prat Vermell,1
2018,la Maternitat i Sant Ramon,125
2018,la Nova Esquerra de l'Eixample,432
2018,la Prosperitat,448
2018,la Sagrada Família,493
2018,la Sagrera,296
2018,la Salut,204
2018,la Teixonera,344
2018,la Trinitat Nova,127
2018,la Trinitat Vella,124
2018,la Vall d'Hebron,77
2018,la Verneda i la Pau,255
2018,la Vila Olímpica del Poblenou,100
2018,la Vila de Gràcia,379
2018,les Corts,326
2018,les Roquetes,244
2018,les Tres Torres,211
2019,Baró de Viver,113
2019,Can Baró,239
2019,Can Peguera,193
2019,Canyelles,87
2019,Ciutat Meridiana,287
2019,Diagonal Mar i el Front Marítim del Poblenou,112
2019,Horta,89
2019,Hostafrancs,391
2019,Montbau,25
2019,Navas,523
2019,Pedralbes,44
2019,Porta,316
2019,Provençals del Poblenou,193
2019,Sant Andreu,310
2019,Sant Antoni,476
2019,Sant Genís dels Agudells,43
2019,Sant Gervasi - Galvany,285
2019,Sant Gervasi - la Bonanova,116
2019,Sant Martí de Provençals,355
2019,"Sant Pere, Santa Caterina i la Ribera",204
2019,Sants,384
2019,Sants - Badal,586
2019,Sarrià,82
2019,Torre Baró,17
2019,Vallbona,23
2019,Vallcarca i els Penitents,128
2019,"Vallvidrera, el Tibidabo i les Planes",4
2019,Verdun,528
2019,Vilapicina i la Torre Llobeta,457
2019,el Baix Guinardó,459
2019,el Barri Gòtic,228
2019,el Besòs i el Maresme,208
2019,el Bon Pastor,70
2019,el Camp d'en Grassot i Gràcia Nova,537
2019,el Camp de l'Arpa del Clot,522
2019,el Carmel,341
2019,el Clot,388
2019,el Coll,211
2019,el Congrés i els Indians,354
2019,el Fort Pienc,348
2019,el Guinardó,283
2019,el Parc i la Llacuna del Poblenou,138
2019,el Poble Sec,87
2019,el Poblenou,216
2019,el Putxet i el Farró,349
2019,el Raval,430
2019,el Turó de la Peira,444
2019,l'Antiga Esquerra de l'Eixample,345
2019,la Barceloneta,136
2019,la Bordeta,338
2019,la Clota,38
2019,la Dreta de l'Eixample,205
