,districtName,year,districtCode,neighborhoodName,sex,count,Latitude_d,Longitude_d,Latitude_n,Longitude_n,totCount,percent,density
43,Sants-Montjuïc,2015,03,Sants - Badal,Male,708,41.34994863691585,2.1449328518852444,41.374648571568606,2.127722311736889,1475,48.0,601
44,Sarrià-Sant Gervasi,2015,05,Sarrià,Female,608,41.412773594643824,2.106121049753216,41.40263975792741,2.1161752205051303,1187,51.22,83
45,Sarrià-Sant Gervasi,2015,05,Sarrià,Male,579,41.412773594643824,2.106121049753216,41.40263975792741,2.1161752205051303,1187,48.78,83
46,Nou Barris,2015,08,Torre Baró,Female,71,41.44624399686965,2.175060174739923,41.45478246035708,2.1740652292036216,141,50.35,17
47,Nou Barris,2015,08,Torre Baró,Male,70,41.44624399686965,2.175060174739923,41.45478246035708,2.1740652292036216,141,49.65,17
48,Nou Barris,2015,08,Vallbona,Female,36,41.44624399686965,2.175060174739923,41.46345746203076,2.184082455782003,73,49.32,23
49,Nou Barris,2015,08,Vallbona,Male,37,41.44624399686965,2.175060174739923,41.46345746203076,2.184082455782003,73,50.68,23
50,Gràcia,2015,06,Vallcarca i els Penitents,Female,351,41.41014984533272,2.15239842811538,41.41649399598394,2.1408186017546953,663,52.94,130
51,Gràcia,2015,06,Vallcarca i els Penitents,Male,312,41.41014984533272,2.15239842811538,41.41649399598394,2.1408186017546953,663,47.06,130
52,Sarrià-Sant Gervasi,2015,05,"Vallvidrera, el Tibidabo i les Planes",Female,121,41.412773594643824,2.106121049753216,41.41949766557829,2.0894525733974803,231,52.38,4
53,Sarrià-Sant Gervasi,2015,05,"Vallvidrera, el Tibidabo i les Planes",Male,110,41.412773594643824,2.106121049753216,41.41949766557829,2.0894525733974803,231,47.62,4
54,Nou Barris,2015,08,Verdun,Female,316,41.44624399686965,2.175060174739923,41.442693857548115,2.1756228176531303,594,53.2,539
55,Nou Barris,2015,08,Verdun,Male,278,41.44624399686965,2.175060174739923,41.442693857548115,2.1756228176531303,594,46.8,539
56,Nou Barris,2015,08,Vilapicina i la Torre Llobeta,Female,507,41.44624399686965,2.175060174739923,41.42859135895319,2.174092139848137,1005,50.45,462
57,Nou Barris,2015,08,Vilapicina i la Torre Llobeta,Male,498,41.44624399686965,2.175060174739923,41.42859135895319,2.174092139848137,1005,49.55,462
58,Horta-Guinardó,2015,07,el Baix Guinardó,Female,618,41.42913982673942,2.150530914702001,41.41171312255782,2.1678508988999163,1205,51.29,465
59,Horta-Guinardó,2015,07,el Baix Guinardó,Male,587,41.42913982673942,2.150530914702001,41.41171312255782,2.1678508988999163,1205,48.71,465
60,Ciutat Vella,2015,01,el Barri Gòtic,Female,1038,41.38084295838007,2.181049163164951,41.38129203149477,2.1773117122464805,2202,47.14,265
