districtName,5YearAge,year,districtCode,neighborhoodName,count,Latitude_n,Longitude_n
Eixample,100+,2017,2,la Sagrada Família,0,41.40545288785172,2.1765351354467284
Eixample,65-69,2018,2,el Fort Pienc,28,41.397405898016736,2.181498917420189
Eixample,70-74,2018,2,el Fort Pienc,22,41.397405898016736,2.181498917420189
Eixample,75-79,2018,2,el Fort Pienc,6,41.397405898016736,2.181498917420189
Eixample,80-84,2018,2,el Fort Pienc,5,41.397405898016736,2.181498917420189
Eixample,85-89,2018,2,el Fort Pienc,7,41.397405898016736,2.181498917420189
Eixample,90-94,2018,2,el Fort Pienc,3,41.397405898016736,2.181498917420189
Eixample,95-99,2018,2,el Fort Pienc,1,41.397405898016736,2.181498917420189
Eixample,100+,2018,2,el Fort Pienc,2,41.397405898016736,2.181498917420189
Eixample,0-4,2019,2,el Fort Pienc,110,41.397405898016736,2.181498917420189
Eixample,5-9,2019,2,el Fort Pienc,94,41.397405898016736,2.181498917420189
Eixample,10-14,2019,2,el Fort Pienc,63,41.397405898016736,2.181498917420189
Eixample,15-19,2019,2,el Fort Pienc,131,41.397405898016736,2.181498917420189
Eixample,20-24,2019,2,el Fort Pienc,471,41.397405898016736,2.181498917420189
Eixample,25-29,2019,2,el Fort Pienc,722,41.397405898016736,2.181498917420189
Eixample,30-34,2019,2,el Fort Pienc,515,41.397405898016736,2.181498917420189
Eixample,35-39,2019,2,el Fort Pienc,292,41.397405898016736,2.181498917420189
Eixample,40-44,2019,2,el Fort Pienc,227,41.397405898016736,2.181498917420189
Eixample,45-49,2019,2,el Fort Pienc,126,41.397405898016736,2.181498917420189
Eixample,50-54,2019,2,el Fort Pienc,97,41.397405898016736,2.181498917420189
Eixample,55-59,2019,2,el Fort Pienc,74,41.397405898016736,2.181498917420189
Eixample,60-64,2019,2,el Fort Pienc,49,41.397405898016736,2.181498917420189
Eixample,65-69,2019,2,el Fort Pienc,35,41.397405898016736,2.181498917420189
Eixample,70-74,2019,2,el Fort Pienc,21,41.397405898016736,2.181498917420189
Eixample,60-64,2018,2,el Fort Pienc,43,41.397405898016736,2.181498917420189
Eixample,55-59,2018,2,el Fort Pienc,63,41.397405898016736,2.181498917420189
Eixample,50-54,2018,2,el Fort Pienc,76,41.397405898016736,2.181498917420189
Eixample,45-49,2018,2,el Fort Pienc,102,41.397405898016736,2.181498917420189
Eixample,30-34,2017,2,el Fort Pienc,364,41.397405898016736,2.181498917420189
Eixample,35-39,2017,2,el Fort Pienc,249,41.397405898016736,2.181498917420189
Eixample,40-44,2017,2,el Fort Pienc,129,41.397405898016736,2.181498917420189
Eixample,45-49,2017,2,el Fort Pienc,90,41.397405898016736,2.181498917420189
Eixample,50-54,2017,2,el Fort Pienc,82,41.397405898016736,2.181498917420189
Eixample,55-59,2017,2,el Fort Pienc,46,41.397405898016736,2.181498917420189
Eixample,60-64,2017,2,el Fort Pienc,36,41.397405898016736,2.181498917420189
Eixample,65-69,2017,2,el Fort Pienc,27,41.397405898016736,2.181498917420189
Eixample,70-74,2017,2,el Fort Pienc,30,41.397405898016736,2.181498917420189
Eixample,75-79,2017,2,el Fort Pienc,14,41.397405898016736,2.181498917420189
Eixample,80-84,2017,2,el Fort Pienc,10,41.397405898016736,2.181498917420189
Eixample,75-79,2019,2,el Fort Pienc,16,41.397405898016736,2.181498917420189
Eixample,85-89,2017,2,el Fort Pienc,5,41.397405898016736,2.181498917420189
Eixample,95-99,2017,2,el Fort Pienc,2,41.397405898016736,2.181498917420189
Eixample,100+,2017,2,el Fort Pienc,0,41.397405898016736,2.181498917420189
Eixample,0-4,2018,2,el Fort Pienc,77,41.397405898016736,2.181498917420189
Eixample,5-9,2018,2,el Fort Pienc,53,41.397405898016736,2.181498917420189
Eixample,10-14,2018,2,el Fort Pienc,57,41.397405898016736,2.181498917420189
Eixample,15-19,2018,2,el Fort Pienc,90,41.397405898016736,2.181498917420189
Eixample,20-24,2018,2,el Fort Pienc,358,41.397405898016736,2.181498917420189
Eixample,25-29,2018,2,el Fort Pienc,610,41.397405898016736,2.181498917420189
Eixample,30-34,2018,2,el Fort Pienc,380,41.397405898016736,2.181498917420189
Eixample,35-39,2018,2,el Fort Pienc,256,41.397405898016736,2.181498917420189
Eixample,40-44,2018,2,el Fort Pienc,170,41.397405898016736,2.181498917420189
Eixample,90-94,2017,2,el Fort Pienc,6,41.397405898016736,2.181498917420189
Eixample,25-29,2017,2,el Fort Pienc,556,41.397405898016736,2.181498917420189
Eixample,80-84,2019,2,el Fort Pienc,9,41.397405898016736,2.181498917420189
Eixample,90-94,2019,2,el Fort Pienc,7,41.397405898016736,2.181498917420189
Eixample,25-29,2015,2,la Sagrada Família,803,41.40545288785172,2.1765351354467284
Eixample,30-34,2015,2,la Sagrada Família,585,41.40545288785172,2.1765351354467284
Eixample,35-39,2015,2,la Sagrada Família,380,41.40545288785172,2.1765351354467284
Eixample,40-44,2015,2,la Sagrada Família,220,41.40545288785172,2.1765351354467284
Eixample,45-49,2015,2,la Sagrada Família,141,41.40545288785172,2.1765351354467284
Eixample,50-54,2015,2,la Sagrada Família,118,41.40545288785172,2.1765351354467284
Eixample,55-59,2015,2,la Sagrada Família,81,41.40545288785172,2.1765351354467284
Eixample,60-64,2015,2,la Sagrada Família,49,41.40545288785172,2.1765351354467284
Eixample,65-69,2015,2,la Sagrada Família,57,41.40545288785172,2.1765351354467284
Eixample,70-74,2015,2,la Sagrada Família,33,41.40545288785172,2.1765351354467284
Eixample,75-79,2015,2,la Sagrada Família,20,41.40545288785172,2.1765351354467284
Eixample,80-84,2015,2,la Sagrada Família,21,41.40545288785172,2.1765351354467284
Eixample,85-89,2015,2,la Sagrada Família,15,41.40545288785172,2.1765351354467284
Eixample,90-94,2015,2,la Sagrada Família,3,41.40545288785172,2.1765351354467284
Eixample,95-99,2015,2,la Sagrada Família,4,41.40545288785172,2.1765351354467284
Eixample,100+,2015,2,la Sagrada Família,1,41.40545288785172,2.1765351354467284
Eixample,0-4,2016,2,la Sagrada Família,102,41.40545288785172,2.1765351354467284
Eixample,5-9,2016,2,la Sagrada Família,80,41.40545288785172,2.1765351354467284
Eixample,10-14,2016,2,la Sagrada Família,65,41.40545288785172,2.1765351354467284
Eixample,15-19,2016,2,la Sagrada Família,133,41.40545288785172,2.1765351354467284
Eixample,20-24,2016,2,la Sagrada Família,461,41.40545288785172,2.1765351354467284
Eixample,25-29,2016,2,la Sagrada Família,766,41.40545288785172,2.1765351354467284
Eixample,30-34,2016,2,la Sagrada Família,521,41.40545288785172,2.1765351354467284
Eixample,20-24,2015,2,la Sagrada Família,408,41.40545288785172,2.1765351354467284
Eixample,15-19,2015,2,la Sagrada Família,93,41.40545288785172,2.1765351354467284
Eixample,10-14,2015,2,la Sagrada Família,71,41.40545288785172,2.1765351354467284
Eixample,5-9,2015,2,la Sagrada Família,62,41.40545288785172,2.1765351354467284
Eixample,95-99,2019,2,el Fort Pienc,2,41.397405898016736,2.181498917420189
Eixample,100+,2019,2,el Fort Pienc,0,41.397405898016736,2.181498917420189
Eixample,0-4,2020,2,el Fort Pienc,46,41.397405898016736,2.181498917420189
Eixample,5-9,2020,2,el Fort Pienc,35,41.397405898016736,2.181498917420189
Eixample,10-14,2020,2,el Fort Pienc,25,41.397405898016736,2.181498917420189
Eixample,15-19,2020,2,el Fort Pienc,67,41.397405898016736,2.181498917420189
Eixample,20-24,2020,2,el Fort Pienc,280,41.397405898016736,2.181498917420189
Eixample,25-29,2020,2,el Fort Pienc,460,41.397405898016736,2.181498917420189
Eixample,30-34,2020,2,el Fort Pienc,358,41.397405898016736,2.181498917420189
Eixample,35-39,2020,2,el Fort Pienc,212,41.397405898016736,2.181498917420189
Eixample,40-44,2020,2,el Fort Pienc,127,41.397405898016736,2.181498917420189
Eixample,85-89,2019,2,el Fort Pienc,14,41.397405898016736,2.181498917420189
Eixample,45-49,2020,2,el Fort Pienc,73,41.397405898016736,2.181498917420189
Eixample,55-59,2020,2,el Fort Pienc,39,41.397405898016736,2.181498917420189
Eixample,60-64,2020,2,el Fort Pienc,23,41.397405898016736,2.181498917420189
Eixample,65-69,2020,2,el Fort Pienc,26,41.397405898016736,2.181498917420189
Eixample,70-74,2020,2,el Fort Pienc,11,41.397405898016736,2.181498917420189
Eixample,75-79,2020,2,el Fort Pienc,12,41.397405898016736,2.181498917420189
Eixample,80-84,2020,2,el Fort Pienc,5,41.397405898016736,2.181498917420189
Eixample,85-89,2020,2,el Fort Pienc,5,41.397405898016736,2.181498917420189
Eixample,90-94,2020,2,el Fort Pienc,2,41.397405898016736,2.181498917420189
Eixample,95-99,2020,2,el Fort Pienc,1,41.397405898016736,2.181498917420189
Eixample,100+,2020,2,el Fort Pienc,0,41.397405898016736,2.181498917420189
Eixample,0-4,2015,2,la Sagrada Família,101,41.40545288785172,2.1765351354467284
Eixample,50-54,2020,2,el Fort Pienc,69,41.397405898016736,2.181498917420189
Eixample,35-39,2016,2,la Sagrada Família,340,41.40545288785172,2.1765351354467284
Eixample,20-24,2017,2,el Fort Pienc,324,41.397405898016736,2.181498917420189
Eixample,10-14,2017,2,el Fort Pienc,42,41.397405898016736,2.181498917420189
Eixample,55-59,2016,2,l'Antiga Esquerra de l'Eixample,60,41.38934720324182,2.1551726755124543
Eixample,50-54,2016,2,l'Antiga Esquerra de l'Eixample,78,41.38934720324182,2.1551726755124543
Eixample,45-49,2016,2,l'Antiga Esquerra de l'Eixample,109,41.38934720324182,2.1551726755124543
Eixample,40-44,2016,2,l'Antiga Esquerra de l'Eixample,166,41.38934720324182,2.1551726755124543
Eixample,35-39,2016,2,l'Antiga Esquerra de l'Eixample,297,41.38934720324182,2.1551726755124543
Eixample,30-34,2016,2,l'Antiga Esquerra de l'Eixample,533,41.38934720324182,2.1551726755124543
Eixample,25-29,2016,2,l'Antiga Esquerra de l'Eixample,773,41.38934720324182,2.1551726755124543
Eixample,20-24,2016,2,l'Antiga Esquerra de l'Eixample,450,41.38934720324182,2.1551726755124543
Eixample,15-19,2016,2,l'Antiga Esquerra de l'Eixample,94,41.38934720324182,2.1551726755124543
Eixample,10-14,2016,2,l'Antiga Esquerra de l'Eixample,44,41.38934720324182,2.1551726755124543
Eixample,5-9,2016,2,l'Antiga Esquerra de l'Eixample,50,41.38934720324182,2.1551726755124543
Eixample,0-4,2016,2,l'Antiga Esquerra de l'Eixample,108,41.38934720324182,2.1551726755124543
Eixample,100+,2015,2,l'Antiga Esquerra de l'Eixample,0,41.38934720324182,2.1551726755124543
Eixample,95-99,2015,2,l'Antiga Esquerra de l'Eixample,2,41.38934720324182,2.1551726755124543
Eixample,90-94,2015,2,l'Antiga Esquerra de l'Eixample,7,41.38934720324182,2.1551726755124543
Eixample,85-89,2015,2,l'Antiga Esquerra de l'Eixample,14,41.38934720324182,2.1551726755124543
Eixample,80-84,2015,2,l'Antiga Esquerra de l'Eixample,20,41.38934720324182,2.1551726755124543
Eixample,75-79,2015,2,l'Antiga Esquerra de l'Eixample,23,41.38934720324182,2.1551726755124543
Eixample,70-74,2015,2,l'Antiga Esquerra de l'Eixample,24,41.38934720324182,2.1551726755124543
Eixample,65-69,2015,2,l'Antiga Esquerra de l'Eixample,42,41.38934720324182,2.1551726755124543
Eixample,60-64,2015,2,l'Antiga Esquerra de l'Eixample,54,41.38934720324182,2.1551726755124543
Eixample,55-59,2015,2,l'Antiga Esquerra de l'Eixample,71,41.38934720324182,2.1551726755124543
Eixample,50-54,2015,2,l'Antiga Esquerra de l'Eixample,116,41.38934720324182,2.1551726755124543
Eixample,60-64,2016,2,l'Antiga Esquerra de l'Eixample,45,41.38934720324182,2.1551726755124543
Eixample,65-69,2016,2,l'Antiga Esquerra de l'Eixample,40,41.38934720324182,2.1551726755124543
Eixample,70-74,2016,2,l'Antiga Esquerra de l'Eixample,22,41.38934720324182,2.1551726755124543
Eixample,75-79,2016,2,l'Antiga Esquerra de l'Eixample,9,41.38934720324182,2.1551726755124543
Eixample,90-94,2017,2,l'Antiga Esquerra de l'Eixample,12,41.38934720324182,2.1551726755124543
Eixample,85-89,2017,2,l'Antiga Esquerra de l'Eixample,12,41.38934720324182,2.1551726755124543
Eixample,80-84,2017,2,l'Antiga Esquerra de l'Eixample,12,41.38934720324182,2.1551726755124543
Eixample,75-79,2017,2,l'Antiga Esquerra de l'Eixample,15,41.38934720324182,2.1551726755124543
Eixample,70-74,2017,2,l'Antiga Esquerra de l'Eixample,42,41.38934720324182,2.1551726755124543
Eixample,65-69,2017,2,l'Antiga Esquerra de l'Eixample,48,41.38934720324182,2.1551726755124543
Eixample,60-64,2017,2,l'Antiga Esquerra de l'Eixample,65,41.38934720324182,2.1551726755124543
Eixample,55-59,2017,2,l'Antiga Esquerra de l'Eixample,92,41.38934720324182,2.1551726755124543
Eixample,50-54,2017,2,l'Antiga Esquerra de l'Eixample,115,41.38934720324182,2.1551726755124543
Eixample,45-49,2017,2,l'Antiga Esquerra de l'Eixample,151,41.38934720324182,2.1551726755124543
Eixample,40-44,2017,2,l'Antiga Esquerra de l'Eixample,197,41.38934720324182,2.1551726755124543
Eixample,45-49,2015,2,l'Antiga Esquerra de l'Eixample,140,41.38934720324182,2.1551726755124543
Eixample,35-39,2017,2,l'Antiga Esquerra de l'Eixample,319,41.38934720324182,2.1551726755124543
