districtName,count
Ciutat Vella,74789
Eixample,109556
Gràcia,40951
Horta-Guinardó,45567
Les Corts,25058
Nou Barris,48224
Sant Andreu,36839
Sant Martí,72328
Sants-Montjuïc,70308
Sarrià-Sant Gervasi,40871
