districtName,5YearAge,year,districtCode,neighborhoodCode,neighborhoodName,count
Sants-Montjuïc,5-9,2015,3,15,Hostafrancs,34
Sants-Montjuïc,5-9,2015,3,16,la Bordeta,32
Sants-Montjuïc,5-9,2015,3,17,Sants - Badal,46
Sants-Montjuïc,5-9,2015,3,18,Sants,76
Les Corts,5-9,2015,4,19,les Corts,62
Les Corts,5-9,2015,4,20,la Maternitat i Sant Ramon,34
Les Corts,5-9,2015,4,21,Pedralbes,62
Sarrià-Sant Gervasi,5-9,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",14
Sarrià-Sant Gervasi,5-9,2015,5,23,Sarrià,70
Sarrià-Sant Gervasi,5-9,2015,5,24,les Tres Torres,47
Sarrià-Sant Gervasi,5-9,2015,5,25,Sant Gervasi - la Bonanova,51
Sarrià-Sant Gervasi,5-9,2015,5,26,Sant Gervasi - Galvany,101
Sarrià-Sant Gervasi,5-9,2015,5,27,el Putxet i el Farró,49
Gràcia,5-9,2015,6,28,Vallcarca i els Penitents,20
Gràcia,5-9,2015,6,29,el Coll,16
Gràcia,5-9,2015,6,30,la Salut,7
Gràcia,5-9,2015,6,31,la Vila de Gràcia,76
Gràcia,5-9,2015,6,32,el Camp d'en Grassot i Gràcia Nova,45
Horta-Guinardó,5-9,2015,7,33,el Baix Guinardó,41
Horta-Guinardó,5-9,2015,7,34,Can Baró,12
Horta-Guinardó,5-9,2015,7,35,el Guinardó,47
Horta-Guinardó,5-9,2015,7,36,la Font d'en Fargues,6
Horta-Guinardó,5-9,2015,7,37,el Carmel,42
Horta-Guinardó,5-9,2015,7,38,la Teixonera,9
Horta-Guinardó,5-9,2015,7,39,Sant Genís dels Agudells,4
Horta-Guinardó,5-9,2015,7,40,Montbau,9
Horta-Guinardó,5-9,2015,7,41,la Vall d'Hebron,6
Horta-Guinardó,5-9,2015,7,42,la Clota,0
Horta-Guinardó,5-9,2015,7,43,Horta,36
Nou Barris,5-9,2015,8,44,Vilapicina i la Torre Llobeta,34
Nou Barris,5-9,2015,8,45,Porta,29
Nou Barris,5-9,2015,8,46,el Turó de la Peira,35
Nou Barris,5-9,2015,8,47,Can Peguera,1
Nou Barris,5-9,2015,8,48,la Guineueta,15
Nou Barris,5-9,2015,8,49,Canyelles,7
Nou Barris,5-9,2015,8,50,les Roquetes,38
Nou Barris,5-9,2015,8,51,Verdun,26
Nou Barris,5-9,2015,8,52,la Prosperitat,39
Nou Barris,5-9,2015,8,53,la Trinitat Nova,16
Nou Barris,5-9,2015,8,54,Torre Baró,13
Nou Barris,5-9,2015,8,55,Ciutat Meridiana,26
Nou Barris,5-9,2015,8,56,Vallbona,4
Sant Andreu,5-9,2015,9,57,la Trinitat Vella,39
Sant Andreu,5-9,2015,9,58,Baró de Viver,9
Sant Andreu,5-9,2015,9,59,el Bon Pastor,23
Sant Andreu,5-9,2015,9,60,Sant Andreu,73
Sant Andreu,5-9,2015,9,61,la Sagrera,40
Sant Andreu,5-9,2015,9,62,el Congrés i els Indians,14
Sant Andreu,5-9,2015,9,63,Navas,34
Sant Martí,5-9,2015,10,64,el Camp de l'Arpa del Clot,45
Sant Martí,5-9,2015,10,65,el Clot,36
Sant Martí,5-9,2015,10,66,el Parc i la Llacuna del Poblenou,24
Sant Martí,5-9,2015,10,67,la Vila Olímpica del Poblenou,18
Sant Martí,5-9,2015,10,68,el Poblenou,52
Sant Martí,5-9,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,28
Sant Martí,5-9,2015,10,70,el Besòs i el Maresme,71
Sant Martí,5-9,2015,10,71,Provençals del Poblenou,31
Sant Martí,5-9,2015,10,72,Sant Martí de Provençals,26
Sant Martí,5-9,2015,10,73,la Verneda i la Pau,60
Ciutat Vella,10-14,2015,1,1,el Raval,94
Ciutat Vella,10-14,2015,1,2,el Barri Gòtic,28
Ciutat Vella,10-14,2015,1,3,la Barceloneta,18
Ciutat Vella,10-14,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",33
Eixample,10-14,2015,2,5,el Fort Pienc,42
Eixample,10-14,2015,2,6,la Sagrada Família,71
Eixample,10-14,2015,2,7,la Dreta de l'Eixample,60
Eixample,10-14,2015,2,8,l'Antiga Esquerra de l'Eixample,61
Eixample,10-14,2015,2,9,la Nova Esquerra de l'Eixample,91
Eixample,10-14,2015,2,10,Sant Antoni,47
Sants-Montjuïc,10-14,2015,3,11,el Poble Sec,70
Sants-Montjuïc,10-14,2015,3,12,la Marina del Prat Vermell,4
Sants-Montjuïc,10-14,2015,3,13,la Marina de Port,70
Sants-Montjuïc,10-14,2015,3,14,la Font de la Guatlla,21
Sants-Montjuïc,10-14,2015,3,15,Hostafrancs,37
Sants-Montjuïc,10-14,2015,3,16,la Bordeta,33
Sants-Montjuïc,10-14,2015,3,17,Sants - Badal,49
Sants-Montjuïc,10-14,2015,3,18,Sants,84
Les Corts,10-14,2015,4,19,les Corts,63
Les Corts,10-14,2015,4,20,la Maternitat i Sant Ramon,39
Les Corts,10-14,2015,4,21,Pedralbes,50
Sarrià-Sant Gervasi,10-14,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",13
Sarrià-Sant Gervasi,10-14,2015,5,23,Sarrià,87
Sarrià-Sant Gervasi,10-14,2015,5,24,les Tres Torres,38
Sarrià-Sant Gervasi,10-14,2015,5,25,Sant Gervasi - la Bonanova,45
Sarrià-Sant Gervasi,10-14,2015,5,26,Sant Gervasi - Galvany,104
Sarrià-Sant Gervasi,10-14,2015,5,27,el Putxet i el Farró,49
Gràcia,10-14,2015,6,28,Vallcarca i els Penitents,20
Gràcia,10-14,2015,6,29,el Coll,15
Gràcia,10-14,2015,6,30,la Salut,16
Gràcia,10-14,2015,6,31,la Vila de Gràcia,52
Gràcia,10-14,2015,6,32,el Camp d'en Grassot i Gràcia Nova,32
Horta-Guinardó,10-14,2015,7,33,el Baix Guinardó,29
Horta-Guinardó,10-14,2015,7,34,Can Baró,8
Horta-Guinardó,10-14,2015,7,35,el Guinardó,59
Horta-Guinardó,10-14,2015,7,36,la Font d'en Fargues,11
Horta-Guinardó,10-14,2015,7,37,el Carmel,30
Horta-Guinardó,10-14,2015,7,38,la Teixonera,16
Horta-Guinardó,10-14,2015,7,39,Sant Genís dels Agudells,8
Horta-Guinardó,10-14,2015,7,40,Montbau,4
Horta-Guinardó,10-14,2015,7,41,la Vall d'Hebron,9
Horta-Guinardó,10-14,2015,7,42,la Clota,0
Horta-Guinardó,10-14,2015,7,43,Horta,44
Nou Barris,10-14,2015,8,44,Vilapicina i la Torre Llobeta,41
Nou Barris,10-14,2015,8,45,Porta,27
Nou Barris,10-14,2015,8,46,el Turó de la Peira,28
Nou Barris,10-14,2015,8,47,Can Peguera,4
Nou Barris,10-14,2015,8,48,la Guineueta,18
Nou Barris,10-14,2015,8,49,Canyelles,9
Nou Barris,10-14,2015,8,50,les Roquetes,38
Nou Barris,10-14,2015,8,51,Verdun,20
Nou Barris,10-14,2015,8,52,la Prosperitat,45
Nou Barris,10-14,2015,8,53,la Trinitat Nova,16
Nou Barris,10-14,2015,8,54,Torre Baró,5
Nou Barris,10-14,2015,8,55,Ciutat Meridiana,28
Nou Barris,10-14,2015,8,56,Vallbona,4
Sant Andreu,10-14,2015,9,57,la Trinitat Vella,30
Sant Andreu,10-14,2015,9,58,Baró de Viver,2
Sant Andreu,10-14,2015,9,59,el Bon Pastor,20
Sant Andreu,10-14,2015,9,60,Sant Andreu,50
Sant Andreu,10-14,2015,9,61,la Sagrera,34
Sant Andreu,10-14,2015,9,62,el Congrés i els Indians,19
Sant Andreu,10-14,2015,9,63,Navas,28
Sant Martí,10-14,2015,10,64,el Camp de l'Arpa del Clot,43
Sant Martí,10-14,2015,10,65,el Clot,37
Sant Martí,10-14,2015,10,66,el Parc i la Llacuna del Poblenou,13
Sant Martí,10-14,2015,10,67,la Vila Olímpica del Poblenou,11
Sant Martí,10-14,2015,10,68,el Poblenou,50
Sant Martí,10-14,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,20
Sant Martí,10-14,2015,10,70,el Besòs i el Maresme,68
Sant Martí,10-14,2015,10,71,Provençals del Poblenou,39
Sant Martí,10-14,2015,10,72,Sant Martí de Provençals,35
Sant Martí,10-14,2015,10,73,la Verneda i la Pau,54
Ciutat Vella,15-19,2015,1,1,el Raval,232
Ciutat Vella,15-19,2015,1,2,el Barri Gòtic,77
Ciutat Vella,15-19,2015,1,3,la Barceloneta,44
Ciutat Vella,15-19,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",93
Eixample,15-19,2015,2,5,el Fort Pienc,66
Eixample,15-19,2015,2,6,la Sagrada Família,93
Eixample,15-19,2015,2,7,la Dreta de l'Eixample,96
Eixample,15-19,2015,2,8,l'Antiga Esquerra de l'Eixample,109
Eixample,15-19,2015,2,9,la Nova Esquerra de l'Eixample,105
Eixample,15-19,2015,2,10,Sant Antoni,82
Sants-Montjuïc,15-19,2015,3,11,el Poble Sec,125
Sants-Montjuïc,15-19,2015,3,12,la Marina del Prat Vermell,2
Sants-Montjuïc,15-19,2015,3,13,la Marina de Port,87
Sants-Montjuïc,15-19,2015,3,14,la Font de la Guatlla,32
Sants-Montjuïc,15-19,2015,3,15,Hostafrancs,45
Sants-Montjuïc,15-19,2015,3,16,la Bordeta,28
Sants-Montjuïc,15-19,2015,3,17,Sants - Badal,59
Sants-Montjuïc,15-19,2015,3,18,Sants,107
Les Corts,15-19,2015,4,19,les Corts,88
Les Corts,15-19,2015,4,20,la Maternitat i Sant Ramon,60
Les Corts,15-19,2015,4,21,Pedralbes,41
Sarrià-Sant Gervasi,15-19,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",11
Sarrià-Sant Gervasi,15-19,2015,5,23,Sarrià,71
Sarrià-Sant Gervasi,15-19,2015,5,24,les Tres Torres,46
Sarrià-Sant Gervasi,15-19,2015,5,25,Sant Gervasi - la Bonanova,84
Sarrià-Sant Gervasi,15-19,2015,5,26,Sant Gervasi - Galvany,118
Sarrià-Sant Gervasi,15-19,2015,5,27,el Putxet i el Farró,73
Gràcia,15-19,2015,6,28,Vallcarca i els Penitents,18
Gràcia,15-19,2015,6,29,el Coll,15
Gràcia,15-19,2015,6,30,la Salut,47
Gràcia,15-19,2015,6,31,la Vila de Gràcia,94
