,districtName,sex,count,Latitude,Longitude,order
0,Ciutat Vella,Female,32695,41.38084295838007,2.181049163164951,0
1,Ciutat Vella,Male,42094,41.38084295838007,2.181049163164951,1
2,Eixample,Female,56136,41.39162181574575,2.1644883081819466,2
3,Eixample,Male,53420,41.39162181574575,2.1644883081819466,3
4,Gràcia,Female,21599,41.41014984533272,2.15239842811538,4
5,Gràcia,Male,19352,41.41014984533272,2.15239842811538,5
6,Horta-Guinardó,Female,23467,41.42913982673942,2.150530914702001,6
7,Horta-Guinardó,Male,22100,41.42913982673942,2.150530914702001,7
8,Les Corts,Female,12851,41.386969710556954,2.1182139026232667,8
9,Les Corts,Male,12207,41.386969710556954,2.1182139026232667,9
10,Nou Barris,Female,24890,41.44624399686965,2.175060174739923,10
11,Nou Barris,Male,23335,41.44624399686965,2.175060174739923,11
12,Sant Andreu,Female,18526,41.43505454638585,2.1933091722750544,12
13,Sant Andreu,Male,18313,41.43505454638585,2.1933091722750544,13
14,Sant Martí,Female,35594,41.407613151742986,2.2012214191471715,14
15,Sant Martí,Male,36734,41.407613151742986,2.2012214191471715,15
16,Sants-Montjuïc,Female,34391,41.34994863691585,2.1449328518852444,16
17,Sants-Montjuïc,Male,35918,41.34994863691585,2.1449328518852444,17
18,Sarrià-Sant Gervasi,Female,21722,41.412773594643824,2.106121049753216,18
19,Sarrià-Sant Gervasi,Male,19150,41.412773594643824,2.106121049753216,19
