neighborhoodName,year,districtCode,districtName,neighborhoodCode,placeOfDestination,count
Canyelles,2016,8,Nou Barris,49,Cataluña,101
les Roquetes,2016,8,Nou Barris,50,Cataluña,377
Verdun,2016,8,Nou Barris,51,Cataluña,286
la Prosperitat,2016,8,Nou Barris,52,Cataluña,513
la Trinitat Nova,2016,8,Nou Barris,53,Cataluña,187
Torre Baró,2016,8,Nou Barris,54,Cataluña,49
Ciutat Meridiana,2016,8,Nou Barris,55,Cataluña,299
Vallbona,2016,8,Nou Barris,56,Cataluña,44
la Trinitat Vella,2016,9,Sant Andreu,57,Cataluña,288
Baró de Viver,2016,9,Sant Andreu,58,Cataluña,72
el Bon Pastor,2016,9,Sant Andreu,59,Cataluña,360
Sant Andreu,2016,9,Sant Andreu,60,Cataluña,979
la Sagrera,2016,9,Sant Andreu,61,Cataluña,488
el Congrés i els Indians,2016,9,Sant Andreu,62,Cataluña,225
Navas,2016,9,Sant Andreu,63,Cataluña,437
el Camp de l'Arpa del Clot,2016,10,Sant Martí,64,Cataluña,828
el Clot,2016,10,Sant Martí,65,Cataluña,510
el Parc i la Llacuna del Poblenou,2016,10,Sant Martí,66,Cataluña,284
la Vila Olímpica del Poblenou,2016,10,Sant Martí,67,Cataluña,123
el Poblenou,2016,10,Sant Martí,68,Cataluña,656
Diagonal Mar i el Front Marítim del Poblenou,2016,10,Sant Martí,69,Cataluña,243
el Besòs i el Maresme,2016,10,Sant Martí,70,Cataluña,844
Provençals del Poblenou,2016,10,Sant Martí,71,Cataluña,444
Sant Martí de Provençals,2016,10,Sant Martí,72,Cataluña,532
la Verneda i la Pau,2016,10,Sant Martí,73,Cataluña,553
el Raval,2016,1,Ciutat Vella,1,Comunidad Valenciana,86
el Barri Gòtic,2016,1,Ciutat Vella,2,Comunidad Valenciana,30
la Barceloneta,2016,1,Ciutat Vella,3,Comunidad Valenciana,24
"Sant Pere, Santa Caterina i la Ribera",2016,1,Ciutat Vella,4,Comunidad Valenciana,43
el Fort Pienc,2016,2,Eixample,5,Comunidad Valenciana,37
la Sagrada Família,2016,2,Eixample,6,Comunidad Valenciana,57
la Dreta de l'Eixample,2016,2,Eixample,7,Comunidad Valenciana,43
l'Antiga Esquerra de l'Eixample,2016,2,Eixample,8,Comunidad Valenciana,47
la Nova Esquerra de l'Eixample,2016,2,Eixample,9,Comunidad Valenciana,42
Sant Antoni,2016,2,Eixample,10,Comunidad Valenciana,33
el Poble Sec,2016,3,Sants-Montjuïc,11,Comunidad Valenciana,52
la Marina del Prat Vermell,2016,3,Sants-Montjuïc,12,Comunidad Valenciana,1
la Marina de Port,2016,3,Sants-Montjuïc,13,Comunidad Valenciana,43
la Font de la Guatlla,2016,3,Sants-Montjuïc,14,Comunidad Valenciana,15
Hostafrancs,2016,3,Sants-Montjuïc,15,Comunidad Valenciana,22
la Bordeta,2016,3,Sants-Montjuïc,16,Comunidad Valenciana,16
Sants - Badal,2016,3,Sants-Montjuïc,17,Comunidad Valenciana,29
Sants,2016,3,Sants-Montjuïc,18,Comunidad Valenciana,34
les Corts,2016,4,Les Corts,19,Comunidad Valenciana,25
la Maternitat i Sant Ramon,2016,4,Les Corts,20,Comunidad Valenciana,25
Pedralbes,2016,4,Les Corts,21,Comunidad Valenciana,12
"Vallvidrera, el Tibidabo i les Planes",2016,5,Sarrià-Sant Gervasi,22,Comunidad Valenciana,1
Sarrià,2016,5,Sarrià-Sant Gervasi,23,Comunidad Valenciana,9
les Tres Torres,2016,5,Sarrià-Sant Gervasi,24,Comunidad Valenciana,9
Sant Gervasi - la Bonanova,2016,5,Sarrià-Sant Gervasi,25,Comunidad Valenciana,13
Sant Gervasi - Galvany,2016,5,Sarrià-Sant Gervasi,26,Comunidad Valenciana,44
el Putxet i el Farró,2016,5,Sarrià-Sant Gervasi,27,Comunidad Valenciana,29
Vallcarca i els Penitents,2016,6,Gràcia,28,Comunidad Valenciana,13
el Coll,2016,6,Gràcia,29,Comunidad Valenciana,2
la Salut,2016,6,Gràcia,30,Comunidad Valenciana,12
la Vila de Gràcia,2016,6,Gràcia,31,Comunidad Valenciana,56
el Camp d'en Grassot i Gràcia Nova,2016,6,Gràcia,32,Comunidad Valenciana,46
el Baix Guinardó,2016,7,Horta-Guinardó,33,Comunidad Valenciana,18
Can Baró,2016,7,Horta-Guinardó,34,Comunidad Valenciana,3
el Guinardó,2016,7,Horta-Guinardó,35,Comunidad Valenciana,23
la Font d'en Fargues,2016,7,Horta-Guinardó,36,Comunidad Valenciana,5
el Carmel,2016,7,Horta-Guinardó,37,Comunidad Valenciana,22
la Teixonera,2016,7,Horta-Guinardó,38,Comunidad Valenciana,14
Sant Genís dels Agudells,2016,7,Horta-Guinardó,39,Comunidad Valenciana,2
Montbau,2016,7,Horta-Guinardó,40,Comunidad Valenciana,5
la Vall d'Hebron,2016,7,Horta-Guinardó,41,Comunidad Valenciana,2
la Clota,2016,7,Horta-Guinardó,42,Comunidad Valenciana,0
Horta,2016,7,Horta-Guinardó,43,Comunidad Valenciana,19
Vilapicina i la Torre Llobeta,2016,8,Nou Barris,44,Comunidad Valenciana,18
Porta,2016,8,Nou Barris,45,Comunidad Valenciana,17
el Turó de la Peira,2016,8,Nou Barris,46,Comunidad Valenciana,13
Can Peguera,2016,8,Nou Barris,47,Comunidad Valenciana,0
la Guineueta,2016,8,Nou Barris,48,Comunidad Valenciana,4
Canyelles,2016,8,Nou Barris,49,Comunidad Valenciana,10
les Roquetes,2016,8,Nou Barris,50,Comunidad Valenciana,14
Verdun,2016,8,Nou Barris,51,Comunidad Valenciana,13
la Prosperitat,2016,8,Nou Barris,52,Comunidad Valenciana,17
la Trinitat Nova,2016,8,Nou Barris,53,Comunidad Valenciana,4
Torre Baró,2016,8,Nou Barris,54,Comunidad Valenciana,3
Ciutat Meridiana,2016,8,Nou Barris,55,Comunidad Valenciana,8
Vallbona,2016,8,Nou Barris,56,Comunidad Valenciana,1
la Trinitat Vella,2016,9,Sant Andreu,57,Comunidad Valenciana,11
Baró de Viver,2016,9,Sant Andreu,58,Comunidad Valenciana,2
el Bon Pastor,2016,9,Sant Andreu,59,Comunidad Valenciana,6
Sant Andreu,2016,9,Sant Andreu,60,Comunidad Valenciana,28
la Sagrera,2016,9,Sant Andreu,61,Comunidad Valenciana,24
el Congrés i els Indians,2016,9,Sant Andreu,62,Comunidad Valenciana,19
Navas,2016,9,Sant Andreu,63,Comunidad Valenciana,16
el Camp de l'Arpa del Clot,2016,10,Sant Martí,64,Comunidad Valenciana,41
el Clot,2016,10,Sant Martí,65,Comunidad Valenciana,27
el Parc i la Llacuna del Poblenou,2016,10,Sant Martí,66,Comunidad Valenciana,11
la Vila Olímpica del Poblenou,2016,10,Sant Martí,67,Comunidad Valenciana,3
el Poblenou,2016,10,Sant Martí,68,Comunidad Valenciana,32
Diagonal Mar i el Front Marítim del Poblenou,2016,10,Sant Martí,69,Comunidad Valenciana,9
el Besòs i el Maresme,2016,10,Sant Martí,70,Comunidad Valenciana,32
Provençals del Poblenou,2016,10,Sant Martí,71,Comunidad Valenciana,20
Sant Martí de Provençals,2016,10,Sant Martí,72,Comunidad Valenciana,22
la Verneda i la Pau,2016,10,Sant Martí,73,Comunidad Valenciana,17
el Raval,2016,1,Ciutat Vella,1,Extremadura,6
el Barri Gòtic,2016,1,Ciutat Vella,2,Extremadura,3
la Barceloneta,2016,1,Ciutat Vella,3,Extremadura,2
"Sant Pere, Santa Caterina i la Ribera",2016,1,Ciutat Vella,4,Extremadura,1
el Fort Pienc,2016,2,Eixample,5,Extremadura,2
la Sagrada Família,2016,2,Eixample,6,Extremadura,2
la Dreta de l'Eixample,2016,2,Eixample,7,Extremadura,4
l'Antiga Esquerra de l'Eixample,2016,2,Eixample,8,Extremadura,1
la Nova Esquerra de l'Eixample,2016,2,Eixample,9,Extremadura,2
Sant Antoni,2016,2,Eixample,10,Extremadura,2
el Poble Sec,2016,3,Sants-Montjuïc,11,Extremadura,4
la Marina del Prat Vermell,2016,3,Sants-Montjuïc,12,Extremadura,0
la Marina de Port,2016,3,Sants-Montjuïc,13,Extremadura,0
la Font de la Guatlla,2016,3,Sants-Montjuïc,14,Extremadura,0
Hostafrancs,2016,3,Sants-Montjuïc,15,Extremadura,2
la Bordeta,2016,3,Sants-Montjuïc,16,Extremadura,1
Sants - Badal,2016,3,Sants-Montjuïc,17,Extremadura,3
Sants,2016,3,Sants-Montjuïc,18,Extremadura,5
les Corts,2016,4,Les Corts,19,Extremadura,1
la Maternitat i Sant Ramon,2016,4,Les Corts,20,Extremadura,2
Pedralbes,2016,4,Les Corts,21,Extremadura,3
"Vallvidrera, el Tibidabo i les Planes",2016,5,Sarrià-Sant Gervasi,22,Extremadura,0
Sarrià,2016,5,Sarrià-Sant Gervasi,23,Extremadura,0
les Tres Torres,2016,5,Sarrià-Sant Gervasi,24,Extremadura,0
Sant Gervasi - la Bonanova,2016,5,Sarrià-Sant Gervasi,25,Extremadura,0
Sant Gervasi - Galvany,2016,5,Sarrià-Sant Gervasi,26,Extremadura,0
el Putxet i el Farró,2016,5,Sarrià-Sant Gervasi,27,Extremadura,2
Vallcarca i els Penitents,2016,6,Gràcia,28,Extremadura,0
el Coll,2016,6,Gràcia,29,Extremadura,0
la Salut,2016,6,Gràcia,30,Extremadura,2
la Vila de Gràcia,2016,6,Gràcia,31,Extremadura,8
el Camp d'en Grassot i Gràcia Nova,2016,6,Gràcia,32,Extremadura,0
el Baix Guinardó,2016,7,Horta-Guinardó,33,Extremadura,0
Can Baró,2016,7,Horta-Guinardó,34,Extremadura,3
el Guinardó,2016,7,Horta-Guinardó,35,Extremadura,1
la Font d'en Fargues,2016,7,Horta-Guinardó,36,Extremadura,0
el Carmel,2016,7,Horta-Guinardó,37,Extremadura,8
la Teixonera,2016,7,Horta-Guinardó,38,Extremadura,0
Sant Genís dels Agudells,2016,7,Horta-Guinardó,39,Extremadura,0
Montbau,2016,7,Horta-Guinardó,40,Extremadura,0
la Vall d'Hebron,2016,7,Horta-Guinardó,41,Extremadura,0
la Clota,2016,7,Horta-Guinardó,42,Extremadura,0
Horta,2016,7,Horta-Guinardó,43,Extremadura,2
Vilapicina i la Torre Llobeta,2016,8,Nou Barris,44,Extremadura,1
Porta,2016,8,Nou Barris,45,Extremadura,1
el Turó de la Peira,2016,8,Nou Barris,46,Extremadura,0
Can Peguera,2016,8,Nou Barris,47,Extremadura,0
la Guineueta,2016,8,Nou Barris,48,Extremadura,0
Canyelles,2016,8,Nou Barris,49,Extremadura,1
les Roquetes,2016,8,Nou Barris,50,Extremadura,5
Verdun,2016,8,Nou Barris,51,Extremadura,2
la Prosperitat,2016,8,Nou Barris,52,Extremadura,2
la Trinitat Nova,2016,8,Nou Barris,53,Extremadura,2
Torre Baró,2016,8,Nou Barris,54,Extremadura,0
Ciutat Meridiana,2016,8,Nou Barris,55,Extremadura,1
Vallbona,2016,8,Nou Barris,56,Extremadura,0
la Trinitat Vella,2016,9,Sant Andreu,57,Extremadura,0
Baró de Viver,2016,9,Sant Andreu,58,Extremadura,0
el Bon Pastor,2016,9,Sant Andreu,59,Extremadura,0
Sant Andreu,2016,9,Sant Andreu,60,Extremadura,4
la Sagrera,2016,9,Sant Andreu,61,Extremadura,1
el Congrés i els Indians,2016,9,Sant Andreu,62,Extremadura,0
Navas,2016,9,Sant Andreu,63,Extremadura,1
el Camp de l'Arpa del Clot,2016,10,Sant Martí,64,Extremadura,4
el Clot,2016,10,Sant Martí,65,Extremadura,1
el Parc i la Llacuna del Poblenou,2016,10,Sant Martí,66,Extremadura,2
la Vila Olímpica del Poblenou,2016,10,Sant Martí,67,Extremadura,2
el Poblenou,2016,10,Sant Martí,68,Extremadura,2
Diagonal Mar i el Front Marítim del Poblenou,2016,10,Sant Martí,69,Extremadura,0
el Besòs i el Maresme,2016,10,Sant Martí,70,Extremadura,2
Provençals del Poblenou,2016,10,Sant Martí,71,Extremadura,1
Sant Martí de Provençals,2016,10,Sant Martí,72,Extremadura,5
la Verneda i la Pau,2016,10,Sant Martí,73,Extremadura,5
el Raval,2016,1,Ciutat Vella,1,Galicia,42
el Barri Gòtic,2016,1,Ciutat Vella,2,Galicia,10
la Barceloneta,2016,1,Ciutat Vella,3,Galicia,8
"Sant Pere, Santa Caterina i la Ribera",2016,1,Ciutat Vella,4,Galicia,9
el Fort Pienc,2016,2,Eixample,5,Galicia,17
la Sagrada Família,2016,2,Eixample,6,Galicia,21
la Dreta de l'Eixample,2016,2,Eixample,7,Galicia,13
l'Antiga Esquerra de l'Eixample,2016,2,Eixample,8,Galicia,20
la Nova Esquerra de l'Eixample,2016,2,Eixample,9,Galicia,24
Sant Antoni,2016,2,Eixample,10,Galicia,18
el Poble Sec,2016,3,Sants-Montjuïc,11,Galicia,29
la Marina del Prat Vermell,2016,3,Sants-Montjuïc,12,Galicia,4
la Marina de Port,2016,3,Sants-Montjuïc,13,Galicia,21
la Font de la Guatlla,2016,3,Sants-Montjuïc,14,Galicia,4
Hostafrancs,2016,3,Sants-Montjuïc,15,Galicia,8
la Bordeta,2016,3,Sants-Montjuïc,16,Galicia,12
Sants - Badal,2016,3,Sants-Montjuïc,17,Galicia,10
Sants,2016,3,Sants-Montjuïc,18,Galicia,18
les Corts,2016,4,Les Corts,19,Galicia,16
la Maternitat i Sant Ramon,2016,4,Les Corts,20,Galicia,9
Pedralbes,2016,4,Les Corts,21,Galicia,2
"Vallvidrera, el Tibidabo i les Planes",2016,5,Sarrià-Sant Gervasi,22,Galicia,0
Sarrià,2016,5,Sarrià-Sant Gervasi,23,Galicia,5
les Tres Torres,2016,5,Sarrià-Sant Gervasi,24,Galicia,4
Sant Gervasi - la Bonanova,2016,5,Sarrià-Sant Gervasi,25,Galicia,5
Sant Gervasi - Galvany,2016,5,Sarrià-Sant Gervasi,26,Galicia,7
el Putxet i el Farró,2016,5,Sarrià-Sant Gervasi,27,Galicia,14
Vallcarca i els Penitents,2016,6,Gràcia,28,Galicia,3
el Coll,2016,6,Gràcia,29,Galicia,3
la Salut,2016,6,Gràcia,30,Galicia,1
la Vila de Gràcia,2016,6,Gràcia,31,Galicia,36
el Camp d'en Grassot i Gràcia Nova,2016,6,Gràcia,32,Galicia,17
el Baix Guinardó,2016,7,Horta-Guinardó,33,Galicia,9
Can Baró,2016,7,Horta-Guinardó,34,Galicia,11
el Guinardó,2016,7,Horta-Guinardó,35,Galicia,18
la Font d'en Fargues,2016,7,Horta-Guinardó,36,Galicia,4
el Carmel,2016,7,Horta-Guinardó,37,Galicia,9
la Teixonera,2016,7,Horta-Guinardó,38,Galicia,5
Sant Genís dels Agudells,2016,7,Horta-Guinardó,39,Galicia,4
Montbau,2016,7,Horta-Guinardó,40,Galicia,1
la Vall d'Hebron,2016,7,Horta-Guinardó,41,Galicia,2
la Clota,2016,7,Horta-Guinardó,42,Galicia,0
Horta,2016,7,Horta-Guinardó,43,Galicia,4
Vilapicina i la Torre Llobeta,2016,8,Nou Barris,44,Galicia,22
Porta,2016,8,Nou Barris,45,Galicia,11
el Turó de la Peira,2016,8,Nou Barris,46,Galicia,4
Can Peguera,2016,8,Nou Barris,47,Galicia,0
la Guineueta,2016,8,Nou Barris,48,Galicia,4
Canyelles,2016,8,Nou Barris,49,Galicia,3
les Roquetes,2016,8,Nou Barris,50,Galicia,9
Verdun,2016,8,Nou Barris,51,Galicia,12
la Prosperitat,2016,8,Nou Barris,52,Galicia,21
la Trinitat Nova,2016,8,Nou Barris,53,Galicia,0
Torre Baró,2016,8,Nou Barris,54,Galicia,1
Ciutat Meridiana,2016,8,Nou Barris,55,Galicia,1
Vallbona,2016,8,Nou Barris,56,Galicia,1
la Trinitat Vella,2016,9,Sant Andreu,57,Galicia,4
Baró de Viver,2016,9,Sant Andreu,58,Galicia,0
el Bon Pastor,2016,9,Sant Andreu,59,Galicia,3
Sant Andreu,2016,9,Sant Andreu,60,Galicia,18
la Sagrera,2016,9,Sant Andreu,61,Galicia,9
el Congrés i els Indians,2016,9,Sant Andreu,62,Galicia,8
Navas,2016,9,Sant Andreu,63,Galicia,14
el Camp de l'Arpa del Clot,2016,10,Sant Martí,64,Galicia,23
el Clot,2016,10,Sant Martí,65,Galicia,8
el Parc i la Llacuna del Poblenou,2016,10,Sant Martí,66,Galicia,8
la Vila Olímpica del Poblenou,2016,10,Sant Martí,67,Galicia,2
el Poblenou,2016,10,Sant Martí,68,Galicia,12
Diagonal Mar i el Front Marítim del Poblenou,2016,10,Sant Martí,69,Galicia,1
el Besòs i el Maresme,2016,10,Sant Martí,70,Galicia,4
Provençals del Poblenou,2016,10,Sant Martí,71,Galicia,13
Sant Martí de Provençals,2016,10,Sant Martí,72,Galicia,11
la Verneda i la Pau,2016,10,Sant Martí,73,Galicia,14
el Raval,2016,1,Ciutat Vella,1,Comunidad de Madrid,79
el Barri Gòtic,2016,1,Ciutat Vella,2,Comunidad de Madrid,42
la Barceloneta,2016,1,Ciutat Vella,3,Comunidad de Madrid,37
"Sant Pere, Santa Caterina i la Ribera",2016,1,Ciutat Vella,4,Comunidad de Madrid,46
el Fort Pienc,2016,2,Eixample,5,Comunidad de Madrid,48
la Sagrada Família,2016,2,Eixample,6,Comunidad de Madrid,102
la Dreta de l'Eixample,2016,2,Eixample,7,Comunidad de Madrid,135
l'Antiga Esquerra de l'Eixample,2016,2,Eixample,8,Comunidad de Madrid,108
la Nova Esquerra de l'Eixample,2016,2,Eixample,9,Comunidad de Madrid,104
Sant Antoni,2016,2,Eixample,10,Comunidad de Madrid,65
el Poble Sec,2016,3,Sants-Montjuïc,11,Comunidad de Madrid,59
la Marina del Prat Vermell,2016,3,Sants-Montjuïc,12,Comunidad de Madrid,0
la Marina de Port,2016,3,Sants-Montjuïc,13,Comunidad de Madrid,38
la Font de la Guatlla,2016,3,Sants-Montjuïc,14,Comunidad de Madrid,10
Hostafrancs,2016,3,Sants-Montjuïc,15,Comunidad de Madrid,25
la Bordeta,2016,3,Sants-Montjuïc,16,Comunidad de Madrid,17
Sants - Badal,2016,3,Sants-Montjuïc,17,Comunidad de Madrid,39
Sants,2016,3,Sants-Montjuïc,18,Comunidad de Madrid,58
les Corts,2016,4,Les Corts,19,Comunidad de Madrid,82
la Maternitat i Sant Ramon,2016,4,Les Corts,20,Comunidad de Madrid,38
Pedralbes,2016,4,Les Corts,21,Comunidad de Madrid,23
"Vallvidrera, el Tibidabo i les Planes",2016,5,Sarrià-Sant Gervasi,22,Comunidad de Madrid,2
Sarrià,2016,5,Sarrià-Sant Gervasi,23,Comunidad de Madrid,55
les Tres Torres,2016,5,Sarrià-Sant Gervasi,24,Comunidad de Madrid,50
Sant Gervasi - la Bonanova,2016,5,Sarrià-Sant Gervasi,25,Comunidad de Madrid,57
Sant Gervasi - Galvany,2016,5,Sarrià-Sant Gervasi,26,Comunidad de Madrid,122
el Putxet i el Farró,2016,5,Sarrià-Sant Gervasi,27,Comunidad de Madrid,60
Vallcarca i els Penitents,2016,6,Gràcia,28,Comunidad de Madrid,23
el Coll,2016,6,Gràcia,29,Comunidad de Madrid,14
la Salut,2016,6,Gràcia,30,Comunidad de Madrid,14
la Vila de Gràcia,2016,6,Gràcia,31,Comunidad de Madrid,95
el Camp d'en Grassot i Gràcia Nova,2016,6,Gràcia,32,Comunidad de Madrid,46
el Baix Guinardó,2016,7,Horta-Guinardó,33,Comunidad de Madrid,36
Can Baró,2016,7,Horta-Guinardó,34,Comunidad de Madrid,11
el Guinardó,2016,7,Horta-Guinardó,35,Comunidad de Madrid,43
la Font d'en Fargues,2016,7,Horta-Guinardó,36,Comunidad de Madrid,3
el Carmel,2016,7,Horta-Guinardó,37,Comunidad de Madrid,29
la Teixonera,2016,7,Horta-Guinardó,38,Comunidad de Madrid,15
Sant Genís dels Agudells,2016,7,Horta-Guinardó,39,Comunidad de Madrid,4
Montbau,2016,7,Horta-Guinardó,40,Comunidad de Madrid,3
la Vall d'Hebron,2016,7,Horta-Guinardó,41,Comunidad de Madrid,8
la Clota,2016,7,Horta-Guinardó,42,Comunidad de Madrid,1
Horta,2016,7,Horta-Guinardó,43,Comunidad de Madrid,24
Vilapicina i la Torre Llobeta,2016,8,Nou Barris,44,Comunidad de Madrid,21
Porta,2016,8,Nou Barris,45,Comunidad de Madrid,20
el Turó de la Peira,2016,8,Nou Barris,46,Comunidad de Madrid,12
Can Peguera,2016,8,Nou Barris,47,Comunidad de Madrid,0
la Guineueta,2016,8,Nou Barris,48,Comunidad de Madrid,9
Canyelles,2016,8,Nou Barris,49,Comunidad de Madrid,2
les Roquetes,2016,8,Nou Barris,50,Comunidad de Madrid,13
Verdun,2016,8,Nou Barris,51,Comunidad de Madrid,18
la Prosperitat,2016,8,Nou Barris,52,Comunidad de Madrid,23
la Trinitat Nova,2016,8,Nou Barris,53,Comunidad de Madrid,5
Torre Baró,2016,8,Nou Barris,54,Comunidad de Madrid,2
Ciutat Meridiana,2016,8,Nou Barris,55,Comunidad de Madrid,6
Vallbona,2016,8,Nou Barris,56,Comunidad de Madrid,0
la Trinitat Vella,2016,9,Sant Andreu,57,Comunidad de Madrid,9
Baró de Viver,2016,9,Sant Andreu,58,Comunidad de Madrid,1
el Bon Pastor,2016,9,Sant Andreu,59,Comunidad de Madrid,8
Sant Andreu,2016,9,Sant Andreu,60,Comunidad de Madrid,48
la Sagrera,2016,9,Sant Andreu,61,Comunidad de Madrid,46
el Congrés i els Indians,2016,9,Sant Andreu,62,Comunidad de Madrid,16
Navas,2016,9,Sant Andreu,63,Comunidad de Madrid,35
el Camp de l'Arpa del Clot,2016,10,Sant Martí,64,Comunidad de Madrid,65
el Clot,2016,10,Sant Martí,65,Comunidad de Madrid,33
el Parc i la Llacuna del Poblenou,2016,10,Sant Martí,66,Comunidad de Madrid,27
la Vila Olímpica del Poblenou,2016,10,Sant Martí,67,Comunidad de Madrid,11
el Poblenou,2016,10,Sant Martí,68,Comunidad de Madrid,42
Diagonal Mar i el Front Marítim del Poblenou,2016,10,Sant Martí,69,Comunidad de Madrid,24
el Besòs i el Maresme,2016,10,Sant Martí,70,Comunidad de Madrid,26
Provençals del Poblenou,2016,10,Sant Martí,71,Comunidad de Madrid,47
Sant Martí de Provençals,2016,10,Sant Martí,72,Comunidad de Madrid,25
la Verneda i la Pau,2016,10,Sant Martí,73,Comunidad de Madrid,27
el Raval,2016,1,Ciutat Vella,1,Región de Murcia,17
el Barri Gòtic,2016,1,Ciutat Vella,2,Región de Murcia,7
la Barceloneta,2016,1,Ciutat Vella,3,Región de Murcia,4
"Sant Pere, Santa Caterina i la Ribera",2016,1,Ciutat Vella,4,Región de Murcia,3
el Fort Pienc,2016,2,Eixample,5,Región de Murcia,6
la Sagrada Família,2016,2,Eixample,6,Región de Murcia,7
la Dreta de l'Eixample,2016,2,Eixample,7,Región de Murcia,12
l'Antiga Esquerra de l'Eixample,2016,2,Eixample,8,Región de Murcia,4
la Nova Esquerra de l'Eixample,2016,2,Eixample,9,Región de Murcia,10
Sant Antoni,2016,2,Eixample,10,Región de Murcia,7
el Poble Sec,2016,3,Sants-Montjuïc,11,Región de Murcia,6
la Marina del Prat Vermell,2016,3,Sants-Montjuïc,12,Región de Murcia,0
la Marina de Port,2016,3,Sants-Montjuïc,13,Región de Murcia,8
la Font de la Guatlla,2016,3,Sants-Montjuïc,14,Región de Murcia,2
Hostafrancs,2016,3,Sants-Montjuïc,15,Región de Murcia,3
la Bordeta,2016,3,Sants-Montjuïc,16,Región de Murcia,2
Sants - Badal,2016,3,Sants-Montjuïc,17,Región de Murcia,4
Sants,2016,3,Sants-Montjuïc,18,Región de Murcia,9
les Corts,2016,4,Les Corts,19,Región de Murcia,1
la Maternitat i Sant Ramon,2016,4,Les Corts,20,Región de Murcia,1
Pedralbes,2016,4,Les Corts,21,Región de Murcia,3
"Vallvidrera, el Tibidabo i les Planes",2016,5,Sarrià-Sant Gervasi,22,Región de Murcia,0
Sarrià,2016,5,Sarrià-Sant Gervasi,23,Región de Murcia,1
les Tres Torres,2016,5,Sarrià-Sant Gervasi,24,Región de Murcia,0
Sant Gervasi - la Bonanova,2016,5,Sarrià-Sant Gervasi,25,Región de Murcia,1
Sant Gervasi - Galvany,2016,5,Sarrià-Sant Gervasi,26,Región de Murcia,3
el Putxet i el Farró,2016,5,Sarrià-Sant Gervasi,27,Región de Murcia,1
Vallcarca i els Penitents,2016,6,Gràcia,28,Región de Murcia,3
el Coll,2016,6,Gràcia,29,Región de Murcia,1
la Salut,2016,6,Gràcia,30,Región de Murcia,0
la Vila de Gràcia,2016,6,Gràcia,31,Región de Murcia,5
el Camp d'en Grassot i Gràcia Nova,2016,6,Gràcia,32,Región de Murcia,0
el Baix Guinardó,2016,7,Horta-Guinardó,33,Región de Murcia,7
Can Baró,2016,7,Horta-Guinardó,34,Región de Murcia,0
el Guinardó,2016,7,Horta-Guinardó,35,Región de Murcia,3
la Font d'en Fargues,2016,7,Horta-Guinardó,36,Región de Murcia,0
el Carmel,2016,7,Horta-Guinardó,37,Región de Murcia,6
la Teixonera,2016,7,Horta-Guinardó,38,Región de Murcia,0
Sant Genís dels Agudells,2016,7,Horta-Guinardó,39,Región de Murcia,0
Montbau,2016,7,Horta-Guinardó,40,Región de Murcia,0
la Vall d'Hebron,2016,7,Horta-Guinardó,41,Región de Murcia,0
la Clota,2016,7,Horta-Guinardó,42,Región de Murcia,0
Horta,2016,7,Horta-Guinardó,43,Región de Murcia,0
Vilapicina i la Torre Llobeta,2016,8,Nou Barris,44,Región de Murcia,1
Porta,2016,8,Nou Barris,45,Región de Murcia,1
el Turó de la Peira,2016,8,Nou Barris,46,Región de Murcia,2
Can Peguera,2016,8,Nou Barris,47,Región de Murcia,2
la Guineueta,2016,8,Nou Barris,48,Región de Murcia,2
Canyelles,2016,8,Nou Barris,49,Región de Murcia,0
les Roquetes,2016,8,Nou Barris,50,Región de Murcia,4
Verdun,2016,8,Nou Barris,51,Región de Murcia,6
la Prosperitat,2016,8,Nou Barris,52,Región de Murcia,11
la Trinitat Nova,2016,8,Nou Barris,53,Región de Murcia,2
Torre Baró,2016,8,Nou Barris,54,Región de Murcia,1
Ciutat Meridiana,2016,8,Nou Barris,55,Región de Murcia,3
Vallbona,2016,8,Nou Barris,56,Región de Murcia,0
la Trinitat Vella,2016,9,Sant Andreu,57,Región de Murcia,1
Baró de Viver,2016,9,Sant Andreu,58,Región de Murcia,0
el Bon Pastor,2016,9,Sant Andreu,59,Región de Murcia,3
Sant Andreu,2016,9,Sant Andreu,60,Región de Murcia,5
la Sagrera,2016,9,Sant Andreu,61,Región de Murcia,8
el Congrés i els Indians,2016,9,Sant Andreu,62,Región de Murcia,1
Navas,2016,9,Sant Andreu,63,Región de Murcia,0
el Camp de l'Arpa del Clot,2016,10,Sant Martí,64,Región de Murcia,2
el Clot,2016,10,Sant Martí,65,Región de Murcia,6
el Parc i la Llacuna del Poblenou,2016,10,Sant Martí,66,Región de Murcia,1
la Vila Olímpica del Poblenou,2016,10,Sant Martí,67,Región de Murcia,4
el Poblenou,2016,10,Sant Martí,68,Región de Murcia,5
Diagonal Mar i el Front Marítim del Poblenou,2016,10,Sant Martí,69,Región de Murcia,2
el Besòs i el Maresme,2016,10,Sant Martí,70,Región de Murcia,8
Provençals del Poblenou,2016,10,Sant Martí,71,Región de Murcia,3
Sant Martí de Provençals,2016,10,Sant Martí,72,Región de Murcia,5
la Verneda i la Pau,2016,10,Sant Martí,73,Región de Murcia,4
el Raval,2016,1,Ciutat Vella,1,Comunidad Foral de Navarra,5
el Barri Gòtic,2016,1,Ciutat Vella,2,Comunidad Foral de Navarra,3
la Barceloneta,2016,1,Ciutat Vella,3,Comunidad Foral de Navarra,1
