neighborhoodName,year,districtCode,districtName,neighborhoodCode,placeOfDestination,count
Sant Antoni,2015,2,Eixample,10,Aragón,15
el Poble Sec,2015,3,Sants-Montjuïc,11,Aragón,23
la Marina del Prat Vermell,2015,3,Sants-Montjuïc,12,Aragón,0
la Marina de Port,2015,3,Sants-Montjuïc,13,Aragón,5
la Font de la Guatlla,2015,3,Sants-Montjuïc,14,Aragón,4
Hostafrancs,2015,3,Sants-Montjuïc,15,Aragón,9
la Bordeta,2015,3,Sants-Montjuïc,16,Aragón,7
Sants - Badal,2015,3,Sants-Montjuïc,17,Aragón,13
Sants,2015,3,Sants-Montjuïc,18,Aragón,24
les Corts,2015,4,Les Corts,19,Aragón,23
la Maternitat i Sant Ramon,2015,4,Les Corts,20,Aragón,6
Pedralbes,2015,4,Les Corts,21,Aragón,10
"Vallvidrera, el Tibidabo i les Planes",2015,5,Sarrià-Sant Gervasi,22,Aragón,4
Sarrià,2015,5,Sarrià-Sant Gervasi,23,Aragón,5
les Tres Torres,2015,5,Sarrià-Sant Gervasi,24,Aragón,8
Sant Gervasi - la Bonanova,2015,5,Sarrià-Sant Gervasi,25,Aragón,14
Sant Gervasi - Galvany,2015,5,Sarrià-Sant Gervasi,26,Aragón,7
el Putxet i el Farró,2015,5,Sarrià-Sant Gervasi,27,Aragón,9
Vallcarca i els Penitents,2015,6,Gràcia,28,Aragón,1
el Coll,2015,6,Gràcia,29,Aragón,2
la Salut,2015,6,Gràcia,30,Aragón,3
la Vila de Gràcia,2015,6,Gràcia,31,Aragón,26
el Camp d'en Grassot i Gràcia Nova,2015,6,Gràcia,32,Aragón,22
el Baix Guinardó,2015,7,Horta-Guinardó,33,Aragón,9
Can Baró,2015,7,Horta-Guinardó,34,Aragón,8
el Guinardó,2015,7,Horta-Guinardó,35,Aragón,15
la Font d'en Fargues,2015,7,Horta-Guinardó,36,Aragón,3
el Carmel,2015,7,Horta-Guinardó,37,Aragón,10
la Teixonera,2015,7,Horta-Guinardó,38,Aragón,5
Sant Genís dels Agudells,2015,7,Horta-Guinardó,39,Aragón,1
Montbau,2015,7,Horta-Guinardó,40,Aragón,3
la Vall d'Hebron,2015,7,Horta-Guinardó,41,Aragón,4
la Clota,2015,7,Horta-Guinardó,42,Aragón,0
Horta,2015,7,Horta-Guinardó,43,Aragón,9
Vilapicina i la Torre Llobeta,2015,8,Nou Barris,44,Aragón,16
Porta,2015,8,Nou Barris,45,Aragón,8
el Turó de la Peira,2015,8,Nou Barris,46,Aragón,10
Can Peguera,2015,8,Nou Barris,47,Aragón,0
la Guineueta,2015,8,Nou Barris,48,Aragón,15
Canyelles,2015,8,Nou Barris,49,Aragón,0
les Roquetes,2015,8,Nou Barris,50,Aragón,7
Verdun,2015,8,Nou Barris,51,Aragón,8
la Prosperitat,2015,8,Nou Barris,52,Aragón,3
la Trinitat Nova,2015,8,Nou Barris,53,Aragón,2
Torre Baró,2015,8,Nou Barris,54,Aragón,2
Ciutat Meridiana,2015,8,Nou Barris,55,Aragón,12
Vallbona,2015,8,Nou Barris,56,Aragón,0
la Trinitat Vella,2015,9,Sant Andreu,57,Aragón,9
Baró de Viver,2015,9,Sant Andreu,58,Aragón,0
el Bon Pastor,2015,9,Sant Andreu,59,Aragón,4
Sant Andreu,2015,9,Sant Andreu,60,Aragón,13
la Sagrera,2015,9,Sant Andreu,61,Aragón,17
el Congrés i els Indians,2015,9,Sant Andreu,62,Aragón,8
Navas,2015,9,Sant Andreu,63,Aragón,10
el Camp de l'Arpa del Clot,2015,10,Sant Martí,64,Aragón,15
el Clot,2015,10,Sant Martí,65,Aragón,15
el Parc i la Llacuna del Poblenou,2015,10,Sant Martí,66,Aragón,11
la Vila Olímpica del Poblenou,2015,10,Sant Martí,67,Aragón,2
el Poblenou,2015,10,Sant Martí,68,Aragón,17
Diagonal Mar i el Front Marítim del Poblenou,2015,10,Sant Martí,69,Aragón,5
el Besòs i el Maresme,2015,10,Sant Martí,70,Aragón,18
Provençals del Poblenou,2015,10,Sant Martí,71,Aragón,11
Sant Martí de Provençals,2015,10,Sant Martí,72,Aragón,12
la Verneda i la Pau,2015,10,Sant Martí,73,Aragón,12
el Raval,2015,1,Ciutat Vella,1,Principado de Asturias,2
el Barri Gòtic,2015,1,Ciutat Vella,2,Principado de Asturias,2
la Barceloneta,2015,1,Ciutat Vella,3,Principado de Asturias,3
"Sant Pere, Santa Caterina i la Ribera",2015,1,Ciutat Vella,4,Principado de Asturias,10
el Fort Pienc,2015,2,Eixample,5,Principado de Asturias,4
la Sagrada Família,2015,2,Eixample,6,Principado de Asturias,1
la Dreta de l'Eixample,2015,2,Eixample,7,Principado de Asturias,4
l'Antiga Esquerra de l'Eixample,2015,2,Eixample,8,Principado de Asturias,8
la Nova Esquerra de l'Eixample,2015,2,Eixample,9,Principado de Asturias,6
Sant Antoni,2015,2,Eixample,10,Principado de Asturias,6
el Poble Sec,2015,3,Sants-Montjuïc,11,Principado de Asturias,2
la Marina del Prat Vermell,2015,3,Sants-Montjuïc,12,Principado de Asturias,0
la Marina de Port,2015,3,Sants-Montjuïc,13,Principado de Asturias,7
la Font de la Guatlla,2015,3,Sants-Montjuïc,14,Principado de Asturias,2
Hostafrancs,2015,3,Sants-Montjuïc,15,Principado de Asturias,3
la Bordeta,2015,3,Sants-Montjuïc,16,Principado de Asturias,4
Sants - Badal,2015,3,Sants-Montjuïc,17,Principado de Asturias,1
Sants,2015,3,Sants-Montjuïc,18,Principado de Asturias,5
les Corts,2015,4,Les Corts,19,Principado de Asturias,1
la Maternitat i Sant Ramon,2015,4,Les Corts,20,Principado de Asturias,3
Pedralbes,2015,4,Les Corts,21,Principado de Asturias,2
"Vallvidrera, el Tibidabo i les Planes",2015,5,Sarrià-Sant Gervasi,22,Principado de Asturias,0
Sarrià,2015,5,Sarrià-Sant Gervasi,23,Principado de Asturias,0
les Tres Torres,2015,5,Sarrià-Sant Gervasi,24,Principado de Asturias,0
Sant Gervasi - la Bonanova,2015,5,Sarrià-Sant Gervasi,25,Principado de Asturias,3
