,longitude,latitude,COUNTRY
0,-170.7007316174498,-14.305711987770536,American Samoa
1,-61.984935572074825,15.421124215614475,United States Minor Outlying Islands
2,-161.46513330483654,-17.435370030130244,Cook Islands
3,-145.255376012188,-13.526316739606633,French Polynesia
4,-169.86878106699086,-19.05230921680393,Niue
5,-129.0334897679429,-24.6538069190257,Pitcairn
6,-172.14588210018303,-13.760751252387802,Samoa
7,-171.85265950722743,-9.195174767256542,Tokelau
8,-174.6821765193416,-20.059250935052873,Tonga
9,-177.16299992783055,-13.792571994599982,Wallis and Futuna
10,-88.85911489238985,13.75804151705542,El Salvador
11,-90.31219349119615,15.820878515352685,Guatemala
12,-103.12043937176708,23.64394843426795,Mexico
13,-93.56663466105805,62.3658719808934,Canada
14,-64.44315167435286,-37.60564452525247,Argentina
15,-59.517812515426904,-51.75209043005578,Falkland Islands
16,-81.25545034464567,-34.32823756130027,Chile
17,-82.33897595908059,-1.2980654335322974,Ecuador
18,-74.11416196781884,-8.522717984240291,Peru
19,-64.45209597511207,-16.7312488393574,Bolivia
20,-54.355206608256424,-11.524630416426652,Brazil
21,-58.38906357428651,-23.421905592594282,Paraguay
22,-56.01919523458085,-32.78195043831093,Uruguay
23,-33.08486231591073,-55.79467861523634,South Georgia and South Sandwich Islands
24,-173.95712216184216,-76.48551363834154,Antarctica
25,178.6951729153761,-17.620524267005692,Fiji
26,-5.717391620813109,-15.9629633183404,Saint Helena
27,-63.06008343771807,18.222874004219086,Anguilla
28,-61.79187002978877,17.32188358622719,Antigua and Barbuda
29,-69.97564014284046,12.5156257229929,Aruba
30,-75.94757049263755,23.97198084472157,Bahamas
31,-59.557383949150285,13.183219369337527,Barbados
32,-88.5802147985989,17.29459368926392,Belize
33,-64.74585005991689,32.315067430740726,Bermuda
34,-68.29350445958761,12.180844982440338,Bonaire
35,-64.51741866359077,18.446627982858317,British Virgin Islands
36,-81.25203208977878,19.311231805620288,Cayman Islands
37,-73.84582517707031,5.294234610435874,Colombia
38,-84.14673625701816,9.863467407406214,Costa Rica
39,-79.6459652585029,21.50036820995566,Cuba
40,-68.96939768599042,12.199996647939832,Curacao
41,-61.36047194694299,15.429269860940511,Dominica
42,-70.40475973716906,18.755425996283158,Dominican Republic
43,-53.32232307156624,3.8574297424970783,French Guiana
44,-61.67937937204098,12.112926656338908,Grenada
45,-61.479999314891536,16.16880154346758,Guadeloupe
46,-58.913526127546675,4.6821198138505595,Guyana
47,-72.88622713826513,18.911768634685547,Haiti
48,-86.48189284585226,14.814433611247113,Honduras
49,-77.30358894542778,18.12207889341651,Jamaica
50,-61.01432380875083,14.642697353597644,Martinique
51,-62.18693281256255,16.735363391460353,Montserrat
52,-85.016088327669,12.893566631930554,Nicaragua
53,-80.17590175543056,8.422311846143701,Panama
54,-66.416588433247,18.210417890187674,Puerto Rico
55,-63.23739481909494,17.632512616389718,Saba
56,-62.83051610005157,17.90561691241738,Saint Barthelemy
57,-62.978230589445026,17.4919042294197,Saint Eustatius
58,-62.745603858957864,17.314736299587768,Saint Kitts and Nevis
59,-60.968951093525106,13.895749185129905,Saint Lucia
60,-63.066785253619464,18.078012113224467,Saint Martin
61,-56.29377513187377,46.91690723053818,Saint Pierre and Miquelon
62,-61.19376635439304,13.254808122970653,Saint Vincent and the Grenadines
63,-63.06883135915303,18.03942608463078,Sint Maarten
64,-55.855514311561286,4.0987235959201715,Suriname
65,-61.21970215999138,10.580055762974936,Trinidad and Tobago
