,Latitude,Longitude,districtName,sex,count,count_tot,percent,order
0,41.38084295838007,2.181049163164951,Ciutat Vella,Female,32695,74789,0.43716321918998785,0
1,41.38084295838007,2.181049163164951,Ciutat Vella,Male,42094,74789,0.5628367808100122,1
2,41.39162181574575,2.1644883081819466,Eixample,Female,56136,109556,0.5123954872394026,2
3,41.39162181574575,2.1644883081819466,Eixample,Male,53420,109556,0.4876045127605973,3
4,41.41014984533272,2.15239842811538,Gràcia,Female,21599,40951,0.5274352274669727,4
5,41.41014984533272,2.15239842811538,Gràcia,Male,19352,40951,0.47256477253302726,5
6,41.42913982673942,2.150530914702001,Horta-Guinardó,Female,23467,45567,0.5149998902714684,6
7,41.42913982673942,2.150530914702001,Horta-Guinardó,Male,22100,45567,0.48500010972853164,7
8,41.386969710556954,2.1182139026232667,Les Corts,Female,12851,25058,0.5128501875648496,8
9,41.386969710556954,2.1182139026232667,Les Corts,Male,12207,25058,0.48714981243515043,9
10,41.44624399686965,2.175060174739923,Nou Barris,Female,24890,48225,0.5161223431829963,10
11,41.44624399686965,2.175060174739923,Nou Barris,Male,23335,48225,0.4838776568170036,11
12,41.43505454638585,2.1933091722750544,Sant Andreu,Female,18526,36839,0.5028909579521702,12
13,41.43505454638585,2.1933091722750544,Sant Andreu,Male,18313,36839,0.49710904204782974,13
14,41.407613151742986,2.2012214191471715,Sant Martí,Female,35594,72328,0.4921192345979427,14
15,41.407613151742986,2.2012214191471715,Sant Martí,Male,36734,72328,0.5078807654020573,15
16,41.34994863691585,2.1449328518852444,Sants-Montjuïc,Female,34391,70309,0.4891407927861298,16
17,41.34994863691585,2.1449328518852444,Sants-Montjuïc,Male,35918,70309,0.5108592072138702,17
18,41.412773594643824,2.106121049753216,Sarrià-Sant Gervasi,Female,21722,40872,0.5314640829908005,18
19,41.412773594643824,2.106121049753216,Sarrià-Sant Gervasi,Male,19150,40872,0.46853591700919944,19
