,districtName,year,districtCode,neighborhoodCode,neighborhoodName,5YearAge,count
1241,Ciutat Vella,2015,1,1,el Raval,85-89,17
1242,Ciutat Vella,2015,1,2,el Barri Gòtic,85-89,10
1243,Ciutat Vella,2015,1,3,la Barceloneta,85-89,13
1244,Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",85-89,18
1245,Eixample,2015,2,5,el Fort Pienc,85-89,13
1246,Eixample,2015,2,6,la Sagrada Família,85-89,20
1247,Eixample,2015,2,7,la Dreta de l'Eixample,85-89,21
1248,Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,85-89,22
1249,Eixample,2015,2,9,la Nova Esquerra de l'Eixample,85-89,25
1250,Eixample,2015,2,10,Sant Antoni,85-89,22
1251,Sants-Montjuïc,2015,3,11,el Poble Sec,85-89,41
1252,Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,85-89,0
1253,Sants-Montjuïc,2015,3,13,la Marina de Port,85-89,15
1254,Sants-Montjuïc,2015,3,14,la Font de la Guatlla,85-89,4
1255,Sants-Montjuïc,2015,3,15,Hostafrancs,85-89,6
1256,Sants-Montjuïc,2015,3,16,la Bordeta,85-89,10
1257,Sants-Montjuïc,2015,3,17,Sants - Badal,85-89,16
1258,Sants-Montjuïc,2015,3,18,Sants,85-89,21
1259,Les Corts,2015,4,19,les Corts,85-89,32
1260,Les Corts,2015,4,20,la Maternitat i Sant Ramon,85-89,16
1261,Les Corts,2015,4,21,Pedralbes,85-89,4
1262,Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",85-89,4
1263,Sarrià-Sant Gervasi,2015,5,23,Sarrià,85-89,13
1264,Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,85-89,4
1265,Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,85-89,12
1266,Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,85-89,27
1267,Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,85-89,6
1268,Gràcia,2015,6,28,Vallcarca i els Penitents,85-89,8
1269,Gràcia,2015,6,29,el Coll,85-89,2
1270,Gràcia,2015,6,30,la Salut,85-89,6
1271,Gràcia,2015,6,31,la Vila de Gràcia,85-89,24
1272,Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,85-89,16
1273,Horta-Guinardó,2015,7,33,el Baix Guinardó,85-89,16
1274,Horta-Guinardó,2015,7,34,Can Baró,85-89,5
1275,Horta-Guinardó,2015,7,35,el Guinardó,85-89,23
1276,Horta-Guinardó,2015,7,36,la Font d'en Fargues,85-89,3
1277,Horta-Guinardó,2015,7,37,el Carmel,85-89,15
1278,Horta-Guinardó,2015,7,38,la Teixonera,85-89,4
1279,Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,85-89,7
1280,Horta-Guinardó,2015,7,40,Montbau,85-89,3
1281,Horta-Guinardó,2015,7,41,la Vall d'Hebron,85-89,1
1282,Horta-Guinardó,2015,7,42,la Clota,85-89,0
1283,Horta-Guinardó,2015,7,43,Horta,85-89,17
1284,Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,85-89,13
1285,Nou Barris,2015,8,45,Porta,85-89,15
1286,Nou Barris,2015,8,46,el Turó de la Peira,85-89,13
1287,Nou Barris,2015,8,47,Can Peguera,85-89,1
1288,Nou Barris,2015,8,48,la Guineueta,85-89,8
1289,Nou Barris,2015,8,49,Canyelles,85-89,5
1290,Nou Barris,2015,8,50,les Roquetes,85-89,2
1291,Nou Barris,2015,8,51,Verdun,85-89,5
1292,Nou Barris,2015,8,52,la Prosperitat,85-89,18
1293,Nou Barris,2015,8,53,la Trinitat Nova,85-89,12
1294,Nou Barris,2015,8,54,Torre Baró,85-89,1
1295,Nou Barris,2015,8,55,Ciutat Meridiana,85-89,3
1296,Nou Barris,2015,8,56,Vallbona,85-89,0
1297,Sant Andreu,2015,9,57,la Trinitat Vella,85-89,5
1298,Sant Andreu,2015,9,58,Baró de Viver,85-89,1
1299,Sant Andreu,2015,9,59,el Bon Pastor,85-89,8
1300,Sant Andreu,2015,9,60,Sant Andreu,85-89,17
1301,Sant Andreu,2015,9,61,la Sagrera,85-89,16
1302,Sant Andreu,2015,9,62,el Congrés i els Indians,85-89,11
1303,Sant Andreu,2015,9,63,Navas,85-89,14
1304,Sant Martí,2015,10,64,el Camp de l'Arpa del Clot,85-89,15
1305,Sant Martí,2015,10,65,el Clot,85-89,12
1306,Sant Martí,2015,10,66,el Parc i la Llacuna del Poblenou,85-89,5
1307,Sant Martí,2015,10,67,la Vila Olímpica del Poblenou,85-89,3
1308,Sant Martí,2015,10,68,el Poblenou,85-89,18
1309,Sant Martí,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,85-89,10
1310,Sant Martí,2015,10,70,el Besòs i el Maresme,85-89,21
1311,Sant Martí,2015,10,71,Provençals del Poblenou,85-89,7
1312,Sant Martí,2015,10,72,Sant Martí de Provençals,85-89,22
1313,Sant Martí,2015,10,73,la Verneda i la Pau,85-89,21
1314,Ciutat Vella,2015,1,1,el Raval,90-94,13
1315,Ciutat Vella,2015,1,2,el Barri Gòtic,90-94,1
1316,Ciutat Vella,2015,1,3,la Barceloneta,90-94,4
1317,Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",90-94,8
1318,Eixample,2015,2,5,el Fort Pienc,90-94,9
1319,Eixample,2015,2,6,la Sagrada Família,90-94,22
1320,Eixample,2015,2,7,la Dreta de l'Eixample,90-94,16
1321,Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,90-94,16
1322,Eixample,2015,2,9,la Nova Esquerra de l'Eixample,90-94,17
1323,Eixample,2015,2,10,Sant Antoni,90-94,9
1324,Sants-Montjuïc,2015,3,11,el Poble Sec,90-94,19
1325,Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,90-94,0
1326,Sants-Montjuïc,2015,3,13,la Marina de Port,90-94,12
1327,Sants-Montjuïc,2015,3,14,la Font de la Guatlla,90-94,5
1328,Sants-Montjuïc,2015,3,15,Hostafrancs,90-94,4
1329,Sants-Montjuïc,2015,3,16,la Bordeta,90-94,7
1330,Sants-Montjuïc,2015,3,17,Sants - Badal,90-94,10
1331,Sants-Montjuïc,2015,3,18,Sants,90-94,16
1332,Les Corts,2015,4,19,les Corts,90-94,13
1333,Les Corts,2015,4,20,la Maternitat i Sant Ramon,90-94,8
1334,Les Corts,2015,4,21,Pedralbes,90-94,2
1335,Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",90-94,3
1336,Sarrià-Sant Gervasi,2015,5,23,Sarrià,90-94,7
1337,Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,90-94,6
1338,Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,90-94,4
1339,Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,90-94,8
1340,Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,90-94,9
1341,Gràcia,2015,6,28,Vallcarca i els Penitents,90-94,4
1342,Gràcia,2015,6,29,el Coll,90-94,0
1343,Gràcia,2015,6,30,la Salut,90-94,7
1344,Gràcia,2015,6,31,la Vila de Gràcia,90-94,10
1345,Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,90-94,11
1346,Horta-Guinardó,2015,7,33,el Baix Guinardó,90-94,8
1347,Horta-Guinardó,2015,7,34,Can Baró,90-94,2
1348,Horta-Guinardó,2015,7,35,el Guinardó,90-94,16
1349,Horta-Guinardó,2015,7,36,la Font d'en Fargues,90-94,1
1350,Horta-Guinardó,2015,7,37,el Carmel,90-94,7
1351,Horta-Guinardó,2015,7,38,la Teixonera,90-94,2
1352,Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,90-94,2
1353,Horta-Guinardó,2015,7,40,Montbau,90-94,3
1354,Horta-Guinardó,2015,7,41,la Vall d'Hebron,90-94,2
1355,Horta-Guinardó,2015,7,42,la Clota,90-94,1
1356,Horta-Guinardó,2015,7,43,Horta,90-94,8
1357,Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,90-94,8
1358,Nou Barris,2015,8,45,Porta,90-94,9
1359,Nou Barris,2015,8,46,el Turó de la Peira,90-94,11
1360,Nou Barris,2015,8,47,Can Peguera,90-94,1
1361,Nou Barris,2015,8,48,la Guineueta,90-94,5
1362,Nou Barris,2015,8,49,Canyelles,90-94,2
1363,Nou Barris,2015,8,50,les Roquetes,90-94,2
1364,Nou Barris,2015,8,51,Verdun,90-94,4
1365,Nou Barris,2015,8,52,la Prosperitat,90-94,9
1366,Nou Barris,2015,8,53,la Trinitat Nova,90-94,2
1367,Nou Barris,2015,8,54,Torre Baró,90-94,0
1368,Nou Barris,2015,8,55,Ciutat Meridiana,90-94,5
1369,Nou Barris,2015,8,56,Vallbona,90-94,0
1370,Sant Andreu,2015,9,57,la Trinitat Vella,90-94,3
1371,Sant Andreu,2015,9,58,Baró de Viver,90-94,2
1372,Sant Andreu,2015,9,59,el Bon Pastor,90-94,4
1373,Sant Andreu,2015,9,60,Sant Andreu,90-94,18
1374,Sant Andreu,2015,9,61,la Sagrera,90-94,7
1375,Sant Andreu,2015,9,62,el Congrés i els Indians,90-94,7
1376,Sant Andreu,2015,9,63,Navas,90-94,7
1377,Sant Martí,2015,10,64,el Camp de l'Arpa del Clot,90-94,11
1378,Sant Martí,2015,10,65,el Clot,90-94,8
1379,Sant Martí,2015,10,66,el Parc i la Llacuna del Poblenou,90-94,9
1380,Sant Martí,2015,10,67,la Vila Olímpica del Poblenou,90-94,0
1381,Sant Martí,2015,10,68,el Poblenou,90-94,7
1382,Sant Martí,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,90-94,3
1383,Sant Martí,2015,10,70,el Besòs i el Maresme,90-94,15
1384,Sant Martí,2015,10,71,Provençals del Poblenou,90-94,6
1385,Sant Martí,2015,10,72,Sant Martí de Provençals,90-94,13
1386,Sant Martí,2015,10,73,la Verneda i la Pau,90-94,9
1387,Ciutat Vella,2015,1,1,el Raval,95-99,4
1388,Ciutat Vella,2015,1,2,el Barri Gòtic,95-99,1
1389,Ciutat Vella,2015,1,3,la Barceloneta,95-99,0
1390,Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",95-99,2
1391,Eixample,2015,2,5,el Fort Pienc,95-99,6
1392,Eixample,2015,2,6,la Sagrada Família,95-99,1
1393,Eixample,2015,2,7,la Dreta de l'Eixample,95-99,5
1394,Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,95-99,5
1395,Eixample,2015,2,9,la Nova Esquerra de l'Eixample,95-99,10
1396,Eixample,2015,2,10,Sant Antoni,95-99,4
1397,Sants-Montjuïc,2015,3,11,el Poble Sec,95-99,3
1398,Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,95-99,0
1399,Sants-Montjuïc,2015,3,13,la Marina de Port,95-99,1
1400,Sants-Montjuïc,2015,3,14,la Font de la Guatlla,95-99,1
1401,Sants-Montjuïc,2015,3,15,Hostafrancs,95-99,0
1402,Sants-Montjuïc,2015,3,16,la Bordeta,95-99,1
1403,Sants-Montjuïc,2015,3,17,Sants - Badal,95-99,3
1404,Sants-Montjuïc,2015,3,18,Sants,95-99,5
1405,Les Corts,2015,4,19,les Corts,95-99,2
1406,Les Corts,2015,4,20,la Maternitat i Sant Ramon,95-99,4
1407,Les Corts,2015,4,21,Pedralbes,95-99,1
1408,Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",95-99,0
1409,Sarrià-Sant Gervasi,2015,5,23,Sarrià,95-99,2
1410,Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,95-99,1
1411,Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,95-99,0
1412,Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,95-99,2
1413,Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,95-99,1
1414,Gràcia,2015,6,28,Vallcarca i els Penitents,95-99,0
1415,Gràcia,2015,6,29,el Coll,95-99,0
1416,Gràcia,2015,6,30,la Salut,95-99,0
1417,Gràcia,2015,6,31,la Vila de Gràcia,95-99,2
1418,Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,95-99,9
1419,Horta-Guinardó,2015,7,33,el Baix Guinardó,95-99,1
1420,Horta-Guinardó,2015,7,34,Can Baró,95-99,0
1421,Horta-Guinardó,2015,7,35,el Guinardó,95-99,4
1422,Horta-Guinardó,2015,7,36,la Font d'en Fargues,95-99,1
1423,Horta-Guinardó,2015,7,37,el Carmel,95-99,0
1424,Horta-Guinardó,2015,7,38,la Teixonera,95-99,0
1425,Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,95-99,0
1426,Horta-Guinardó,2015,7,40,Montbau,95-99,1
1427,Horta-Guinardó,2015,7,41,la Vall d'Hebron,95-99,1
1428,Horta-Guinardó,2015,7,42,la Clota,95-99,0
1429,Horta-Guinardó,2015,7,43,Horta,95-99,1
1430,Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,95-99,0
1431,Nou Barris,2015,8,45,Porta,95-99,5
1432,Nou Barris,2015,8,46,el Turó de la Peira,95-99,3
1433,Nou Barris,2015,8,47,Can Peguera,95-99,0
1434,Nou Barris,2015,8,48,la Guineueta,95-99,1
1435,Nou Barris,2015,8,49,Canyelles,95-99,0
1436,Nou Barris,2015,8,50,les Roquetes,95-99,3
1437,Nou Barris,2015,8,51,Verdun,95-99,1
1438,Nou Barris,2015,8,52,la Prosperitat,95-99,2
1439,Nou Barris,2015,8,53,la Trinitat Nova,95-99,0
1440,Nou Barris,2015,8,54,Torre Baró,95-99,0
1441,Nou Barris,2015,8,55,Ciutat Meridiana,95-99,0
1442,Nou Barris,2015,8,56,Vallbona,95-99,0
1443,Sant Andreu,2015,9,57,la Trinitat Vella,95-99,0
1444,Sant Andreu,2015,9,58,Baró de Viver,95-99,0
1445,Sant Andreu,2015,9,59,el Bon Pastor,95-99,0
1446,Sant Andreu,2015,9,60,Sant Andreu,95-99,6
1447,Sant Andreu,2015,9,61,la Sagrera,95-99,1
1448,Sant Andreu,2015,9,62,el Congrés i els Indians,95-99,5
1449,Sant Andreu,2015,9,63,Navas,95-99,2
1450,Sant Martí,2015,10,64,el Camp de l'Arpa del Clot,95-99,2
1451,Sant Martí,2015,10,65,el Clot,95-99,1
1452,Sant Martí,2015,10,66,el Parc i la Llacuna del Poblenou,95-99,4
1453,Sant Martí,2015,10,67,la Vila Olímpica del Poblenou,95-99,0
1454,Sant Martí,2015,10,68,el Poblenou,95-99,0
1455,Sant Martí,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,95-99,1
1456,Sant Martí,2015,10,70,el Besòs i el Maresme,95-99,0
1457,Sant Martí,2015,10,71,Provençals del Poblenou,95-99,0
1458,Sant Martí,2015,10,72,Sant Martí de Provençals,95-99,2
1459,Sant Martí,2015,10,73,la Verneda i la Pau,95-99,2
1460,Ciutat Vella,2015,1,1,el Raval,100+,1
1461,Ciutat Vella,2015,1,2,el Barri Gòtic,100+,0
1462,Ciutat Vella,2015,1,3,la Barceloneta,100+,0
1463,Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",100+,0
1464,Eixample,2015,2,5,el Fort Pienc,100+,2
1465,Eixample,2015,2,6,la Sagrada Família,100+,1
1466,Eixample,2015,2,7,la Dreta de l'Eixample,100+,1
1467,Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,100+,1
1468,Eixample,2015,2,9,la Nova Esquerra de l'Eixample,100+,0
1469,Eixample,2015,2,10,Sant Antoni,100+,0
1470,Sants-Montjuïc,2015,3,11,el Poble Sec,100+,0
1471,Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,100+,0
1472,Sants-Montjuïc,2015,3,13,la Marina de Port,100+,0
1473,Sants-Montjuïc,2015,3,14,la Font de la Guatlla,100+,0
1474,Sants-Montjuïc,2015,3,15,Hostafrancs,100+,0
1475,Sants-Montjuïc,2015,3,16,la Bordeta,100+,0
1476,Sants-Montjuïc,2015,3,17,Sants - Badal,100+,0
1477,Sants-Montjuïc,2015,3,18,Sants,100+,0
1478,Les Corts,2015,4,19,les Corts,100+,0
1479,Les Corts,2015,4,20,la Maternitat i Sant Ramon,100+,1
1480,Les Corts,2015,4,21,Pedralbes,100+,0
1481,Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",100+,0
1482,Sarrià-Sant Gervasi,2015,5,23,Sarrià,100+,0
1483,Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,100+,0
1484,Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,100+,0
1485,Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,100+,1
1486,Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,100+,0
1487,Gràcia,2015,6,28,Vallcarca i els Penitents,100+,0
1488,Gràcia,2015,6,29,el Coll,100+,0
1489,Gràcia,2015,6,30,la Salut,100+,0
1490,Gràcia,2015,6,31,la Vila de Gràcia,100+,1
1491,Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,100+,0
1492,Horta-Guinardó,2015,7,33,el Baix Guinardó,100+,0
1493,Horta-Guinardó,2015,7,34,Can Baró,100+,0
1494,Horta-Guinardó,2015,7,35,el Guinardó,100+,1
1495,Horta-Guinardó,2015,7,36,la Font d'en Fargues,100+,0
1496,Horta-Guinardó,2015,7,37,el Carmel,100+,0
1497,Horta-Guinardó,2015,7,38,la Teixonera,100+,0
1498,Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,100+,1
1499,Horta-Guinardó,2015,7,40,Montbau,100+,0
1500,Horta-Guinardó,2015,7,41,la Vall d'Hebron,100+,0
1501,Horta-Guinardó,2015,7,42,la Clota,100+,0
1502,Horta-Guinardó,2015,7,43,Horta,100+,0
1503,Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,100+,0
1504,Nou Barris,2015,8,45,Porta,100+,0
1505,Nou Barris,2015,8,46,el Turó de la Peira,100+,0
1506,Nou Barris,2015,8,47,Can Peguera,100+,0
1507,Nou Barris,2015,8,48,la Guineueta,100+,0
1508,Nou Barris,2015,8,49,Canyelles,100+,0
1509,Nou Barris,2015,8,50,les Roquetes,100+,0
1510,Nou Barris,2015,8,51,Verdun,100+,0
1511,Nou Barris,2015,8,52,la Prosperitat,100+,1
1512,Nou Barris,2015,8,53,la Trinitat Nova,100+,0
1513,Nou Barris,2015,8,54,Torre Baró,100+,0
1514,Nou Barris,2015,8,55,Ciutat Meridiana,100+,0
1515,Nou Barris,2015,8,56,Vallbona,100+,0
1516,Sant Andreu,2015,9,57,la Trinitat Vella,100+,0
1517,Sant Andreu,2015,9,58,Baró de Viver,100+,0
1518,Sant Andreu,2015,9,59,el Bon Pastor,100+,0
1519,Sant Andreu,2015,9,60,Sant Andreu,100+,0
1520,Sant Andreu,2015,9,61,la Sagrera,100+,1
1521,Sant Andreu,2015,9,62,el Congrés i els Indians,100+,1
1522,Sant Andreu,2015,9,63,Navas,100+,0
1523,Sant Martí,2015,10,64,el Camp de l'Arpa del Clot,100+,1
1524,Sant Martí,2015,10,65,el Clot,100+,0
1525,Sant Martí,2015,10,66,el Parc i la Llacuna del Poblenou,100+,1
1526,Sant Martí,2015,10,67,la Vila Olímpica del Poblenou,100+,0
1527,Sant Martí,2015,10,68,el Poblenou,100+,0
1528,Sant Martí,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,100+,0
1529,Sant Martí,2015,10,70,el Besòs i el Maresme,100+,1
1530,Sant Martí,2015,10,71,Provençals del Poblenou,100+,0
1531,Sant Martí,2015,10,72,Sant Martí de Provençals,100+,0
1532,Sant Martí,2015,10,73,la Verneda i la Pau,100+,0
1533,Ciutat Vella,2016,1,1,el Raval,0-4,117
1534,Ciutat Vella,2016,1,2,el Barri Gòtic,0-4,37
1535,Ciutat Vella,2016,1,3,la Barceloneta,0-4,24
1536,Ciutat Vella,2016,1,4,"Sant Pere, Santa Caterina i la Ribera",0-4,45
1537,Eixample,2016,2,5,el Fort Pienc,0-4,55
1538,Eixample,2016,2,6,la Sagrada Família,0-4,80
1539,Eixample,2016,2,7,la Dreta de l'Eixample,0-4,83
1540,Eixample,2016,2,8,l'Antiga Esquerra de l'Eixample,0-4,58
1541,Eixample,2016,2,9,la Nova Esquerra de l'Eixample,0-4,88
1542,Eixample,2016,2,10,Sant Antoni,0-4,59
1543,Sants-Montjuïc,2016,3,11,el Poble Sec,0-4,77
1544,Sants-Montjuïc,2016,3,12,la Marina del Prat Vermell,0-4,6
1545,Sants-Montjuïc,2016,3,13,la Marina de Port,0-4,70
1546,Sants-Montjuïc,2016,3,14,la Font de la Guatlla,0-4,23
1547,Sants-Montjuïc,2016,3,15,Hostafrancs,0-4,29
1548,Sants-Montjuïc,2016,3,16,la Bordeta,0-4,49
1549,Sants-Montjuïc,2016,3,17,Sants - Badal,0-4,38
1550,Sants-Montjuïc,2016,3,18,Sants,0-4,73
1551,Les Corts,2016,4,19,les Corts,0-4,68
1552,Les Corts,2016,4,20,la Maternitat i Sant Ramon,0-4,43
1553,Les Corts,2016,4,21,Pedralbes,0-4,18
1554,Sarrià-Sant Gervasi,2016,5,22,"Vallvidrera, el Tibidabo i les Planes",0-4,13
1555,Sarrià-Sant Gervasi,2016,5,23,Sarrià,0-4,65
1556,Sarrià-Sant Gervasi,2016,5,24,les Tres Torres,0-4,27
1557,Sarrià-Sant Gervasi,2016,5,25,Sant Gervasi - la Bonanova,0-4,34
1558,Sarrià-Sant Gervasi,2016,5,26,Sant Gervasi - Galvany,0-4,58
1559,Sarrià-Sant Gervasi,2016,5,27,el Putxet i el Farró,0-4,66
1560,Gràcia,2016,6,28,Vallcarca i els Penitents,0-4,29
1561,Gràcia,2016,6,29,el Coll,0-4,9
1562,Gràcia,2016,6,30,la Salut,0-4,14
1563,Gràcia,2016,6,31,la Vila de Gràcia,0-4,93
1564,Gràcia,2016,6,32,el Camp d'en Grassot i Gràcia Nova,0-4,47
1565,Horta-Guinardó,2016,7,33,el Baix Guinardó,0-4,37
1566,Horta-Guinardó,2016,7,34,Can Baró,0-4,16
1567,Horta-Guinardó,2016,7,35,el Guinardó,0-4,56
1568,Horta-Guinardó,2016,7,36,la Font d'en Fargues,0-4,16
1569,Horta-Guinardó,2016,7,37,el Carmel,0-4,45
1570,Horta-Guinardó,2016,7,38,la Teixonera,0-4,21
1571,Horta-Guinardó,2016,7,39,Sant Genís dels Agudells,0-4,5
1572,Horta-Guinardó,2016,7,40,Montbau,0-4,6
1573,Horta-Guinardó,2016,7,41,la Vall d'Hebron,0-4,9
1574,Horta-Guinardó,2016,7,42,la Clota,0-4,0
1575,Horta-Guinardó,2016,7,43,Horta,0-4,29
1576,Nou Barris,2016,8,44,Vilapicina i la Torre Llobeta,0-4,23
1577,Nou Barris,2016,8,45,Porta,0-4,28
1578,Nou Barris,2016,8,46,el Turó de la Peira,0-4,20
1579,Nou Barris,2016,8,47,Can Peguera,0-4,5
1580,Nou Barris,2016,8,48,la Guineueta,0-4,16
1581,Nou Barris,2016,8,49,Canyelles,0-4,7
1582,Nou Barris,2016,8,50,les Roquetes,0-4,34
1583,Nou Barris,2016,8,51,Verdun,0-4,29
1584,Nou Barris,2016,8,52,la Prosperitat,0-4,40
1585,Nou Barris,2016,8,53,la Trinitat Nova,0-4,11
1586,Nou Barris,2016,8,54,Torre Baró,0-4,5
1587,Nou Barris,2016,8,55,Ciutat Meridiana,0-4,22
1588,Nou Barris,2016,8,56,Vallbona,0-4,8
1589,Sant Andreu,2016,9,57,la Trinitat Vella,0-4,34
1590,Sant Andreu,2016,9,58,Baró de Viver,0-4,6
1591,Sant Andreu,2016,9,59,el Bon Pastor,0-4,24
1592,Sant Andreu,2016,9,60,Sant Andreu,0-4,77
1593,Sant Andreu,2016,9,61,la Sagrera,0-4,42
1594,Sant Andreu,2016,9,62,el Congrés i els Indians,0-4,19
1595,Sant Andreu,2016,9,63,Navas,0-4,41
1596,Sant Martí,2016,10,64,el Camp de l'Arpa del Clot,0-4,87
1597,Sant Martí,2016,10,65,el Clot,0-4,31
1598,Sant Martí,2016,10,66,el Parc i la Llacuna del Poblenou,0-4,25
1599,Sant Martí,2016,10,67,la Vila Olímpica del Poblenou,0-4,20
1600,Sant Martí,2016,10,68,el Poblenou,0-4,57
1601,Sant Martí,2016,10,69,Diagonal Mar i el Front Marítim del Poblenou,0-4,41
1602,Sant Martí,2016,10,70,el Besòs i el Maresme,0-4,80
1603,Sant Martí,2016,10,71,Provençals del Poblenou,0-4,39
1604,Sant Martí,2016,10,72,Sant Martí de Provençals,0-4,32
1605,Sant Martí,2016,10,73,la Verneda i la Pau,0-4,46
1606,Ciutat Vella,2016,1,1,el Raval,5-9,100
1607,Ciutat Vella,2016,1,2,el Barri Gòtic,5-9,27
1608,Ciutat Vella,2016,1,3,la Barceloneta,5-9,19
1609,Ciutat Vella,2016,1,4,"Sant Pere, Santa Caterina i la Ribera",5-9,26
1610,Eixample,2016,2,5,el Fort Pienc,5-9,27
1611,Eixample,2016,2,6,la Sagrada Família,5-9,47
1612,Eixample,2016,2,7,la Dreta de l'Eixample,5-9,39
1613,Eixample,2016,2,8,l'Antiga Esquerra de l'Eixample,5-9,34
1614,Eixample,2016,2,9,la Nova Esquerra de l'Eixample,5-9,51
1615,Eixample,2016,2,10,Sant Antoni,5-9,26
1616,Sants-Montjuïc,2016,3,11,el Poble Sec,5-9,40
1617,Sants-Montjuïc,2016,3,12,la Marina del Prat Vermell,5-9,0
1618,Sants-Montjuïc,2016,3,13,la Marina de Port,5-9,39
1619,Sants-Montjuïc,2016,3,14,la Font de la Guatlla,5-9,12
1620,Sants-Montjuïc,2016,3,15,Hostafrancs,5-9,21
1621,Sants-Montjuïc,2016,3,16,la Bordeta,5-9,25
1622,Sants-Montjuïc,2016,3,17,Sants - Badal,5-9,40
1623,Sants-Montjuïc,2016,3,18,Sants,5-9,48
1624,Les Corts,2016,4,19,les Corts,5-9,46
1625,Les Corts,2016,4,20,la Maternitat i Sant Ramon,5-9,25
1626,Les Corts,2016,4,21,Pedralbes,5-9,13
1627,Sarrià-Sant Gervasi,2016,5,22,"Vallvidrera, el Tibidabo i les Planes",5-9,4
1628,Sarrià-Sant Gervasi,2016,5,23,Sarrià,5-9,35
1629,Sarrià-Sant Gervasi,2016,5,24,les Tres Torres,5-9,31
1630,Sarrià-Sant Gervasi,2016,5,25,Sant Gervasi - la Bonanova,5-9,27
1631,Sarrià-Sant Gervasi,2016,5,26,Sant Gervasi - Galvany,5-9,42
1632,Sarrià-Sant Gervasi,2016,5,27,el Putxet i el Farró,5-9,34
1633,Gràcia,2016,6,28,Vallcarca i els Penitents,5-9,12
1634,Gràcia,2016,6,29,el Coll,5-9,8
1635,Gràcia,2016,6,30,la Salut,5-9,10
1636,Gràcia,2016,6,31,la Vila de Gràcia,5-9,54
1637,Gràcia,2016,6,32,el Camp d'en Grassot i Gràcia Nova,5-9,28
1638,Horta-Guinardó,2016,7,33,el Baix Guinardó,5-9,34
1639,Horta-Guinardó,2016,7,34,Can Baró,5-9,6
1640,Horta-Guinardó,2016,7,35,el Guinardó,5-9,24
1641,Horta-Guinardó,2016,7,36,la Font d'en Fargues,5-9,13
1642,Horta-Guinardó,2016,7,37,el Carmel,5-9,33
1643,Horta-Guinardó,2016,7,38,la Teixonera,5-9,7
1644,Horta-Guinardó,2016,7,39,Sant Genís dels Agudells,5-9,8
1645,Horta-Guinardó,2016,7,40,Montbau,5-9,5
1646,Horta-Guinardó,2016,7,41,la Vall d'Hebron,5-9,4
