,districtName,year,districtCode,neighborhoodCode,neighborhoodName,5YearAge,count
82,Eixample,2015,2,10,Sant Antoni,5-9,45
83,Sants-Montjuïc,2015,3,11,el Poble Sec,5-9,59
84,Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,5-9,1
85,Sants-Montjuïc,2015,3,13,la Marina de Port,5-9,51
86,Sants-Montjuïc,2015,3,14,la Font de la Guatlla,5-9,22
87,Sants-Montjuïc,2015,3,15,Hostafrancs,5-9,21
88,Sants-Montjuïc,2015,3,16,la Bordeta,5-9,28
89,Sants-Montjuïc,2015,3,17,Sants - Badal,5-9,41
90,Sants-Montjuïc,2015,3,18,Sants,5-9,70
91,Les Corts,2015,4,19,les Corts,5-9,53
92,Les Corts,2015,4,20,la Maternitat i Sant Ramon,5-9,34
93,Les Corts,2015,4,21,Pedralbes,5-9,19
94,Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",5-9,14
95,Sarrià-Sant Gervasi,2015,5,23,Sarrià,5-9,41
96,Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,5-9,30
97,Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,5-9,29
98,Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,5-9,68
99,Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,5-9,28
100,Gràcia,2015,6,28,Vallcarca i els Penitents,5-9,11
101,Gràcia,2015,6,29,el Coll,5-9,13
102,Gràcia,2015,6,30,la Salut,5-9,16
103,Gràcia,2015,6,31,la Vila de Gràcia,5-9,40
104,Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,5-9,41
105,Horta-Guinardó,2015,7,33,el Baix Guinardó,5-9,23
106,Horta-Guinardó,2015,7,34,Can Baró,5-9,11
107,Horta-Guinardó,2015,7,35,el Guinardó,5-9,29
108,Horta-Guinardó,2015,7,36,la Font d'en Fargues,5-9,8
109,Horta-Guinardó,2015,7,37,el Carmel,5-9,38
110,Horta-Guinardó,2015,7,38,la Teixonera,5-9,11
111,Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,5-9,13
112,Horta-Guinardó,2015,7,40,Montbau,5-9,1
113,Horta-Guinardó,2015,7,41,la Vall d'Hebron,5-9,3
114,Horta-Guinardó,2015,7,42,la Clota,5-9,1
115,Horta-Guinardó,2015,7,43,Horta,5-9,18
116,Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,5-9,25
117,Nou Barris,2015,8,45,Porta,5-9,27
118,Nou Barris,2015,8,46,el Turó de la Peira,5-9,18
119,Nou Barris,2015,8,47,Can Peguera,5-9,2
120,Nou Barris,2015,8,48,la Guineueta,5-9,13
121,Nou Barris,2015,8,49,Canyelles,5-9,8
122,Nou Barris,2015,8,50,les Roquetes,5-9,34
123,Nou Barris,2015,8,51,Verdun,5-9,20
124,Nou Barris,2015,8,52,la Prosperitat,5-9,28
125,Nou Barris,2015,8,53,la Trinitat Nova,5-9,11
126,Nou Barris,2015,8,54,Torre Baró,5-9,5
127,Nou Barris,2015,8,55,Ciutat Meridiana,5-9,34
128,Nou Barris,2015,8,56,Vallbona,5-9,3
129,Sant Andreu,2015,9,57,la Trinitat Vella,5-9,30
130,Sant Andreu,2015,9,58,Baró de Viver,5-9,12
131,Sant Andreu,2015,9,59,el Bon Pastor,5-9,22
132,Sant Andreu,2015,9,60,Sant Andreu,5-9,48
133,Sant Andreu,2015,9,61,la Sagrera,5-9,22
134,Sant Andreu,2015,9,62,el Congrés i els Indians,5-9,14
135,Sant Andreu,2015,9,63,Navas,5-9,22
136,Sant Martí,2015,10,64,el Camp de l'Arpa del Clot,5-9,42
137,Sant Martí,2015,10,65,el Clot,5-9,29
138,Sant Martí,2015,10,66,el Parc i la Llacuna del Poblenou,5-9,26
139,Sant Martí,2015,10,67,la Vila Olímpica del Poblenou,5-9,16
140,Sant Martí,2015,10,68,el Poblenou,5-9,44
141,Sant Martí,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,5-9,36
142,Sant Martí,2015,10,70,el Besòs i el Maresme,5-9,90
143,Sant Martí,2015,10,71,Provençals del Poblenou,5-9,19
144,Sant Martí,2015,10,72,Sant Martí de Provençals,5-9,28
145,Sant Martí,2015,10,73,la Verneda i la Pau,5-9,40
146,Ciutat Vella,2015,1,1,el Raval,10-14,61
